RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
4160,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
41601,Sauer,,,,,,,CDU/CSU,Salzgitter
41601,Feilcke,,,,,,,CDU/CSU,
41603,Feilcke,,,,,,,CDU/CSU,
41607,Feilcke,,,,,,,CDU/CSU,
4161,Hauff,,,,Dr.,,,SPD,
41611,Uldall,,,,,,,CDU/CSU,
41615,Paintner,,,,,,,FDP,
41619,Meyer  Bentrup,,,,Dr.,zu,,CDU/CSU,
41621,Schulhoff,,,,,,,CDU/CSU,
41623,Poß,,,,,,,SPD,
4163,Miltner,,,,Dr.,,,CDU/CSU,
