RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
40250,Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
40251,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40257,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40258,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40259,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
40261,Möller,,,,Dr.,,,CDU/CSU,
40263,Möller,,,,Dr.,,,CDU/CSU,
40267,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40269,Möller,,,,Dr.,,,CDU/CSU,
40271,Müntefering,,,,,,,SPD,
40272,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40274,Stark,,,,Dr.,,,CDU/CSU,Nürtingen
40275,Seesing,,,,,,,CDU/CSU,
40276,Zander,,,,,,,SPD,
40277,Diederich,,,,Dr.,,,SPD,Berlin
40277,Heiterkeit,,,,,,,,
40278,Weng,,,,Dr.,,,FDP,Gerlingen
40283,Pfeffermann,,,,,,,CDU/CSU,
40284,Pfeffermann,,,,,,,CDU/CSU,
40285,Stark,,,,Dr.,,,CDU/CSU,Nürtingen
40292,Kittelmann,,,,,,,CDU/CSU,
40293,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40295,Berger,weiblich,,,,,,CDU/CSU,Berg
40296,Emmerlich,,,,Dr.,,,SPD,
40298,Pfeffermann,,,,,,,CDU/CSU,
40300,Bindig,,,,,,,SPD,
40302,Hoffie,,,,,,,FDP,Hof
40304,Hennig,,,,Dr.,,,CDU/CSU,
40306,Senfft,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40310,Pfeffermann,,,,,,,CDU/CSU,
40312,Stockhausen,,,,,,,CDU/CSU,
40314,Bindig,,,,,,,SPD,
40318,Struck,,,,Dr.,,,SPD,
40322,Kühbacher,,,,,,,SPD,
40324,Kühbacher,,,,,,,SPD,
40326,Kühbacher,,,,,,,SPD,
40328,Wieczorek,,,,,,,SPD,Duisburg
40330,Eigen,,,,,,,CDU/CSU,
40331,Kühbacher,,,,,,,SPD,
40332,Carstensen,,,,,,,CDU/CSU,Nordstrand
40334,Pfeffermann,,,,,,,CDU/CSU,
40338,Pfeffermann,,,,,,,CDU/CSU,
40339,Pfeffermann,,,,,,,CDU/CSU,
40341,Pfeffermann,,,,,,,CDU/CSU,
40343,Wieczorek,,,,,,,SPD,Duisburg
40345,Heyenn,,,,,,,SPD,
40351,Pfeffermann,,,,,,,CDU/CSU,
40352,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40353,Pfeffermann,,,,,,,CDU/CSU,
40355,Pfeffermann,,,,,,,CDU/CSU,
40358,Pfeffermann,,,,,,,CDU/CSU,
40360,Pfeffermann,,,,,,,CDU/CSU,
40363,Paterna,,,,,,,SPD,
40364,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40371,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40374,Wieczorek,,,,,,,SPD,Duisburg
40378,Wieczorek,,,,,,,SPD,Duisburg
