RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
100000,Hitschler,,,Dr.,,,FDP,
100002,Duve,,,,,,SPD,
100004,Neumann,,,,,,CDU/CSU,Bremen
100011,Neumann,,,,,,CDU/CSU,Bremen
100016,Penner,,,Dr.,,,SPD,
100020,Feilcke,,,,,,CDU/CSU,
100026,Feilcke,,,,,,CDU/CSU,
100029,Hüser,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100031,Jäger,,,,,,CDU/CSU,
100035,Lippelt,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,Hannover
100037,Wieczorek,,,Dr.,,,SPD,
100038,Jäger,,,,,,CDU/CSU,
100039,Jäger,,,,,,CDU/CSU,
100041,Brück,,,,,,SPD,
100046,Hellwig,,,Dr.,,,CDU/CSU,
100048,Peter,,,,,,SPD,Kassel
100052,Wieczorek-Zeul,,,,,,SPD,
100054,Wieczorek,,,Dr.,,,SPD,
100059,Wieczorek,,,Dr.,,,SPD,
100065,Heinrich,,,,,,FDP,
100071,Heinrich,,,,,,FDP,
100075,Fuchtel,,,,,,CDU/CSU,
100077,Wieczorek-Zeul,,,,,,SPD,
100081,Blüm,,,Dr.,,,CDU/CSU,
100082,Heinrich,,,,,,FDP,
100088,Hellwig,,,Dr.,,,CDU/CSU,
100092,Rüttgers,,,Dr.,,,CDU/CSU,
100104,Timm,,,Dr.,,,SPD,
100105,Nagel,,,,,,SPD,
100107,Laufs,,,Dr.,,,CDU/CSU,
100108,Wilz,,,,,,CDU/CSU,
100110,Wilz,,,,,,CDU/CSU,
100112,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100116,Friedmann,,,Dr.,,,CDU/CSU,
100117,Unruh,,,,,,,
100119,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100120,Rönsch,,,,,,CDU/CSU,Wiesbaden
100121,Unruh,,,,,,,
100123,Rönsch,,,,,,CDU/CSU,Wiesbaden
100125,Unruh,,,,,,,
100125,Pfeffermann,,,,,,CDU/CSU,
100129,Unruh,,,,,,,
100134,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100137,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100138,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100139,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100140,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100142,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100149,Wieczorek-Zeul,,,,,,SPD,
100151,Schilling,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100156,Wieczorek-Zeul,,,,,,SPD,
100157,Feilcke,,,,,,CDU/CSU,
100159,Lippelt,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,Hannover
100160,Lippelt,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,Hannover
100161,Vollmer,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
100163,Voigt,,,,,,SPD,Frankfurt
100166,Vollmer,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
100167,Feldmann,,,Dr.,,,FDP,
100169,Feilcke,,,,,,CDU/CSU,
100170,Lippelt,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,Hannover
100172,Roitzsch,,,,,,CDU/CSU,Quickborn
100174,Voigt,,,,,,SPD,Frankfurt
100180,Schorlemer,,,,von,Freiherr,CDU/CSU,
100183,Lippelt,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,Hannover
100184,Verheugen,,,,,,SPD,
100187,Voigt,,,,,,SPD,Frankfurt
100188,Hellwig,,,Dr.,,,CDU/CSU,
100190,Hamm-Brücher,,,Dr.,,,FDP,Hamm
100192,With,,,Dr.,de,,SPD,
100194,Däubler-Gmelin,,,Dr.,,,SPD,
100197,Häfner,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100199,Stark,,,Dr.,,,CDU/CSU,Nürtingen
100205,Däubler-Gmelin,,,Dr.,,,SPD,
100209,Däubler-Gmelin,,,Dr.,,,SPD,
100211,Stark,,,Dr.,,,CDU/CSU,Nürtingen
100215,Marschewski,,,,,,CDU/CSU,
100217,Ronneburger,,,,,,FDP,
100222,Däubler-Gmelin,,,Dr.,,,SPD,
100225,Marschewski,,,,,,CDU/CSU,
100228,Däubler-Gmelin,,,Dr.,,,SPD,
100231,Garbe,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100232,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100233,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100236,Soell,,,Dr.,,,SPD,
100238,Kraus,,,,,,CDU/CSU,
100244,Geis,,,,,,CDU/CSU,
100247,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100248,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100250,Bohl,,,,,,CDU/CSU,
100252,Göhner,,,Dr.,,,CDU/CSU,
100254,Werner,,,,,,CDU/CSU,Ulm
100255,Schulte,,,,,,SPD,Hameln
100256,Teubner,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100262,Garbe,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100265,Teubner,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100267,Marschewski,,,,,,CDU/CSU,
100269,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100275,Oesterle-Schwerin,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100276,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100277,Oesterle-Schwerin,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100281,Nickels,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100282,With,,,Dr.,de,,SPD,
100284,Oesterle-Schwerin,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100291,Stark,,,Dr.,,,CDU/CSU,Nürtingen
100294,Oesterle-Schwerin,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100300,Oesterle-Schwerin,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100301,Steinhauer,,,,,,SPD,
100303,Andres,,,,,,SPD,
100305,Steinhauer,,,,,,SPD,
100306,Andres,,,,,,SPD,
100307,Andres,,,,,,SPD,
100309,Volmer,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100311,Busch,,,,,,SPD,
100323,Knabe,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
100327,Weiss,,,,,,BÜNDNIS 90/DIE GRÜNEN,München
100329,Weiss,,,,,,BÜNDNIS 90/DIE GRÜNEN,München
100331,Knabe,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
100334,Garbe,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100337,Kittelmann,,,,,,CDU/CSU,
100338,Göhner,,,Dr.,,,CDU/CSU,
100339,Lennartz,,,,,,SPD,
100344,Feldmann,,,Dr.,,,FDP,
100346,Voigt,,,,,,SPD,Frankfurt
100350,Rüttgers,,,Dr.,,,CDU/CSU,
100350,Scheer,,,Dr.,,,SPD,
100351,Feldmann,,,Dr.,,,FDP,
100352,Lowack,,,,,,CDU/CSU,
100353,Lamers,,,,,,CDU/CSU,
100354,Voigt,,,,,,SPD,Frankfurt
100355,Eich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
100357,Gerstein,,,,,,CDU/CSU,
100359,Rüttgers,,,Dr.,,,CDU/CSU,
100360,Catenhusen,,,,,,SPD,
