RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
232560,Döhring,,,,,,,Stuttgart
232600,Brandt,,,,,,,Berlin
232603,Brandt,,,,,,,Berlin
232606,Brandt,,,,,,,Berlin
232818,Schütz,,,,,,,München
233098,Döhring,,,,,,,Stuttgart
233470,Bauer,,,,,,,Wasserburg
233991,Lücker,,,,,,,München
233994,Lücker,,,,,,,München
234001,Lücker,,,,,,,München
234024,Schmidt,,,Dr.,,,,Gellersen
234099,Schmidt,,,Dr.,,,,Gellersen
234344,Haase,,,,,,,Kassel
234961,Baier,,,,,,,Mosbach
235287,Kliesing,,,Dr.,,,,Honnef
235427,Börner,,,,,,SPD,
235428,Iven,,,,,,,Düren
235459,Baier,,,,,,,Mosbach
235461,Jacobi,,,,,,,Köln
235464,Jacobi,,,,,,,Köln
236534,Jacobi,,,,,,,
236540,Jacobi,,,,,,,Köln
236597,Jacobi,,,,,,,Köln
236676,Riegel,,,,,,,Göppingen
236773,Könen,,,,,,,Düsseldorf
236949,Bauer,,,,,,,Wasserburg
237302,Schmidt,,,Dr.,,,,Gellersen
237625,Jacobi,,,,,,,Köln
238504,Könen,,,,,,,Düsseldorf
238546,Zustimmung.,,,,,,,
238546,Könen,,,,,,,Düsseldorf
238685,Schmidt,,,Dr.,,,,Wuppertal
238754,Arndt,,,Dr.,,,,Berlin
239041,Döring,,,,,,,Düsseldorf
239263,Fritz,,,Dr.,,,,Ludwigshafen
239271,Fritz,,,Dr.,,,,Ludwigshafen
239645,Beyer,,,,,,,Frankfurt
239799,Kühn,,,,,,,Hildesheim
240281,Döhring,,,,,,,Stuttgart
240291,Kühn,,,,,,,Hildesheim
240864,Schmidt,,,Dr.,,,,Gellersen
240905,Bauer,,,,,,,Wasserburg
240974,Schmidt,,,Dr.,,,,Wuppertal
240986,Bauer,,,,,,,Wasserburg
241448,Jacobi,,,,,,,Köln
241466,Riegel,,,,,,,Göppingen
241480,Haase,,,,,,,Kassel
242333,Weber,,,Dr.,,,,Koblenz
242790,Könen,,,,,,,Düsseldorf
242813,Könen,,,,,,,Düsseldorf
242975,Jacobi,,,,,,,Köln
243116,Könen,,,,,,,Düsseldorf
243495,Baier,,,,,,,Mosbach
243500,Könen,,,,,,,Düsseldorf
244113,Schmidt,,,Dr.,,,,Wuppertal
244661,Baier,,,,,,,Mosbach
244879,Schmidt,,,Dr.,,,,Gellersen
244934,Müller,,,,,,,Worms
245119,Weber,,,Dr.,,,,Koblenz
245147,Berger-Heise,,,,,,,Berg
245147,Könen,,,,,,,Düsseldorf
245147,Jacobi,,,,,,,Köln
245162,Jacobi,,,,,,,Köln
245165,Könen,,,,,,,Düsseldorf
245254,Weber,,,Dr.,,,,Koblenz
246542,Schmidt,,,Dr.,,,,Wuppertal
246925,Jacobi,,,,,,,Köln
246974,Bauer,,,,,,,Wasserburg
247482,Fritz,,,Dr.,,,,Ludwigshafen
247999,Fritz,,,Dr.,,,,Ludwigshafen
248321,Zuruf  Mitte,,,,von der,,,
248321,Haase,,,,,,,Kassel
249863,Weber,,,Dr.,,,,Koblenz
249869,Weber,,,Dr.,,,,Koblenz
249909,Wehner,,,,,,,
249909,Gegenruf des   Weber,,,Dr.,,,,Koblenz
249919,Weber,,,Dr.,,,,Koblenz
250252,Könen,,,,,,,Düsseldorf
250256,Könen,,,,,,,Düsseldorf
250860,Könen,,,,,,,Düsseldorf
250893,Bauer,,,,,,,Wasserburg
251262,Jacobi,,,,,,,Köln
251761,Könen,,,,,,,Düsseldorf
251863,Könen,,,,,,,Düsseldorf
252130,Schmidt,,,Dr.,,,,Wuppertal
253078,Bauer,,,,,,,Wasserburg
253120,Haage,,,,,,,München
253407,Weber,,,Dr.,,,,Koblenz
253411,Weber,,,Dr.,,,,Koblenz
253452,Seidl,,,,,,,München
253918,Jacobi,,,,,,,Köln
253939,Zustimmung.,,,,,,,
253939,Schmidt,,,Dr.,,,,Wuppertal
253962,Schmidt,,,Dr.,,,,Gellersen
254263,Schmidt,,,Dr.,,,,Wuppertal
255116,Könen,,,,,,,Düsseldorf
255251,Könen,,,,,,,Düsseldorf
255581,Schmidt,,,Dr.,,,,Gellersen
255703,Könen,,,,,,,Düsseldorf
255735,Könen,,,,,,,Düsseldorf
257464,Baier,,,,,,,Mosbach
258261,Haase,,,,,,,Kassel
258493,Haase,,,,,,,Kassel
260003,Höhmann,,,,,,,Hessisch Lichtenau
260021,Könen,,,,,,,Düsseldorf
261519,Baier,,,,,,,Mosbach
261537,Baier,,,,,,,Mosbach
261556,Könen,,,,,,,Düsseldorf
261584,Ab g. Baier,,,,,,,Mosbach
261585,Ab,,,,,,,
262099,Schmidt,,,Dr.,,,,Wuppertal
262542,Müller,,,,,,,Norden
262687,Jacobi,,,,,,,Köln
263243,Schmidt,,,Dr.,,,,Offenbach
263281,Schmidt,,,Dr.,,,,Wuppertal
263289,Könen,,,,,,,Düsseldorf
263302,Könen,,,,,,,Düsseldorf
263335,Könen,,,,,,,Düsseldorf
263344,Schmidt,,,Dr.,,,,Wuppertal
263594,Könen,,,,,,,Düsseldorf
263596,Killat,,,,,,,
263596,Hahn,,,,,,,Bielefeld
265237,Schmidt,,,Dr.,,,,Gellersen
265254,Schmidt,,,Dr.,,,,Gellersen
265614,Jacobi,,,,,,,Köln
266728,Neumann,,,,,,,Berlin
267345,Haase,,,,,,,Kassel
267887,Schmidt,,,Dr.,,,,Wuppertal
267923,Jacobi,,,,,,,Köln
267924,Jacobi,,,,,,,Köln
267942,Jacobi,,,,,,,Köln
267977,Jacobi,,,,,,,Köln
