RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),2,02/227,29.08.1957
2,Böhm (SPD),2,02/227,29.08.1957
3,Ollenhauer (SPD),2,02/227,29.08.1957
4,Reimann (KPD),2,02/227,29.08.1957
5,Renner (KPD),2,02/227,29.08.1957
6,Ollenhauer (SPD),2,02/227,29.08.1957
7,Renner (KPD),2,02/227,29.08.1957
8,Zinn (SPD),2,02/227,29.08.1957
9,Zinn (SPD),2,02/227,29.08.1957
10,Blücher (FDP),2,02/227,29.08.1957
11,Renner (KPD),2,02/227,29.08.1957
12,Renner (KPD),2,02/227,29.08.1957
13,Ewers (DP),2,02/227,29.08.1957
14,Ewers (DP),2,02/227,29.08.1957
15,Ewers (DP),2,02/227,29.08.1957
16,Ewers (DP),2,02/227,29.08.1957
17,Ewers (DP),2,02/227,29.08.1957
18,Reimann (KPD),2,02/227,29.08.1957
19,Reimann (KPD),2,02/227,29.08.1957
20,Reimann (KPD),2,02/227,29.08.1957
21,Reimann (KPD),2,02/227,29.08.1957
22,Reimann (KPD),2,02/227,29.08.1957
23,Reimann (KPD),2,02/227,29.08.1957
24,Reimann (KPD),2,02/227,29.08.1957
25,Loritz (WAV),2,02/227,29.08.1957
26,Clausen (SSW),2,02/227,29.08.1957
27,Blank (CDU),2,02/227,29.08.1957
28,Blank (CDU),2,02/227,29.08.1957
29,Ollenhauer (SPD),2,02/227,29.08.1957
30,Rüdiger (FDP),2,02/227,29.08.1957
31,Rüdiger (FDP),2,02/227,29.08.1957
32,Ollenhauer (SPD),2,02/227,29.08.1957
33,Fisch (KPD),2,02/227,29.08.1957
34,Fisch (KPD),2,02/227,29.08.1957
35,Götzendorff (WAV),2,02/227,29.08.1957
36,Ribbeheger (Z),2,02/227,29.08.1957
37,Euler (FDP),2,02/227,29.08.1957
38,Etzel (CDU),2,02/227,29.08.1957
39,Euler (FDP),2,02/227,29.08.1957
40,Löfflad (WAV),2,02/227,29.08.1957
41,Rische (KPD),2,02/227,29.08.1957
42,Loritz (WAV),2,02/227,29.08.1957
43,Agatz (KPD),2,02/227,29.08.1957
44,Goetzendorff (WAV),2,02/227,29.08.1957
45,Strauß (CSU),2,02/227,29.08.1957
46,Mayer (FDP),2,02/227,29.08.1957
47,Euler (FDP),2,02/227,29.08.1957
48,Schoettle (SPD),2,02/227,29.08.1957
