RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),19,19/239,07.09.2021
2,Böhm (SPD),19,19/239,07.09.2021
3,Ollenhauer (SPD),19,19/239,07.09.2021
4,Reimann (KPD),19,19/239,07.09.2021
5,Renner (KPD),19,19/239,07.09.2021
6,Ollenhauer (SPD),19,19/239,07.09.2021
7,Renner (KPD),19,19/239,07.09.2021
8,Zinn (SPD),19,19/239,07.09.2021
9,Zinn (SPD),19,19/239,07.09.2021
10,Blücher (FDP),19,19/239,07.09.2021
11,Renner (KPD),19,19/239,07.09.2021
12,Renner (KPD),19,19/239,07.09.2021
13,Ewers (DP),19,19/239,07.09.2021
14,Ewers (DP),19,19/239,07.09.2021
15,Ewers (DP),19,19/239,07.09.2021
16,Ewers (DP),19,19/239,07.09.2021
17,Ewers (DP),19,19/239,07.09.2021
18,Reimann (KPD),19,19/239,07.09.2021
19,Reimann (KPD),19,19/239,07.09.2021
20,Reimann (KPD),19,19/239,07.09.2021
21,Reimann (KPD),19,19/239,07.09.2021
22,Reimann (KPD),19,19/239,07.09.2021
23,Reimann (KPD),19,19/239,07.09.2021
24,Reimann (KPD),19,19/239,07.09.2021
25,Loritz (WAV),19,19/239,07.09.2021
26,Clausen (SSW),19,19/239,07.09.2021
27,Blank (CDU),19,19/239,07.09.2021
28,Blank (CDU),19,19/239,07.09.2021
29,Ollenhauer (SPD),19,19/239,07.09.2021
30,Rüdiger (FDP),19,19/239,07.09.2021
31,Rüdiger (FDP),19,19/239,07.09.2021
32,Ollenhauer (SPD),19,19/239,07.09.2021
33,Fisch (KPD),19,19/239,07.09.2021
34,Fisch (KPD),19,19/239,07.09.2021
35,Götzendorff (WAV),19,19/239,07.09.2021
36,Ribbeheger (Z),19,19/239,07.09.2021
37,Euler (FDP),19,19/239,07.09.2021
38,Etzel (CDU),19,19/239,07.09.2021
39,Euler (FDP),19,19/239,07.09.2021
40,Löfflad (WAV),19,19/239,07.09.2021
41,Rische (KPD),19,19/239,07.09.2021
42,Loritz (WAV),19,19/239,07.09.2021
43,Agatz (KPD),19,19/239,07.09.2021
44,Goetzendorff (WAV),19,19/239,07.09.2021
45,Strauß (CSU),19,19/239,07.09.2021
46,Mayer (FDP),19,19/239,07.09.2021
47,Euler (FDP),19,19/239,07.09.2021
48,Schoettle (SPD),19,19/239,07.09.2021
49,Schoettle (SPD),19,19/239,07.09.2021
50,Scharnberg (CDU),19,19/239,07.09.2021
51,Euler (FDP),19,19/239,07.09.2021
52,Schoettle (SPD),19,19/239,07.09.2021
53,Schoettle (SPD),19,19/239,07.09.2021
54,Schoettle (SPD),19,19/239,07.09.2021
55,Schoettle (SPD),19,19/239,07.09.2021
56,Euler (FDP),19,19/239,07.09.2021
57,Loritz (WAV),19,19/239,07.09.2021
58,Loritz (WAV),19,19/239,07.09.2021
59,Renner (KPD),19,19/239,07.09.2021
60,Schoettle (SPD),19,19/239,07.09.2021
61,Schoettle (SPD),19,19/239,07.09.2021
62,Kinat (SPD),19,19/239,07.09.2021
63,Renner (KPD),19,19/239,07.09.2021
64,Schoettle (SPD),19,19/239,07.09.2021
65,Gengler (CDU),19,19/239,07.09.2021
66,Schoettle (SPD),19,19/239,07.09.2021
67,Renner (KPD),19,19/239,07.09.2021
68,Scharnberg (CDU),19,19/239,07.09.2021
69,Schoettle (SPD),19,19/239,07.09.2021
70,Gengler (CDU),19,19/239,07.09.2021
71,Henßler (SPD),19,19/239,07.09.2021
72,Paul (KPD),19,19/239,07.09.2021
73,Tichi (WAV),19,19/239,07.09.2021
74,Henßler (SPD),19,19/239,07.09.2021
75,Paul (KPD),19,19/239,07.09.2021
76,Paul (KPD),19,19/239,07.09.2021
77,Paul (KPD),19,19/239,07.09.2021
78,Renner (KPD),19,19/239,07.09.2021
79,Renner (KPD),19,19/239,07.09.2021
80,Renner (KPD),19,19/239,07.09.2021
81,Strauß (CSU),19,19/239,07.09.2021
82,Zinn (SPD),19,19/239,07.09.2021
83,Zinn (SPD),19,19/239,07.09.2021
84,Euler (FDP),19,19/239,07.09.2021
85,Ollenhauer (SPD),19,19/239,07.09.2021
86,Renner (KPD),19,19/239,07.09.2021
87,Hilbert (CDU),19,19/239,07.09.2021
88,Renner (KPD),19,19/239,07.09.2021
89,Paul (KPD),19,19/239,07.09.2021
90,Loritz (WAV),19,19/239,07.09.2021
91,Kiesinger (CDU),19,19/239,07.09.2021
92,Kiesinger (CDU),19,19/239,07.09.2021
93,Farke (DP),19,19/239,07.09.2021
94,Kiesinger (CDU),19,19/239,07.09.2021
95,Renner (KPD),19,19/239,07.09.2021
96,Richter (SPD),19,19/239,07.09.2021
97,Arndgen (CDU),19,19/239,07.09.2021
98,Blank (CDU),19,19/239,07.09.2021
99,Richter (SPD),19,19/239,07.09.2021
100,Blank (CDU),19,19/239,07.09.2021
101,Karpf (CDU),19,19/239,07.09.2021
102,Paul (KPD),19,19/239,07.09.2021
103,Stierle (SPD),19,19/239,07.09.2021
104,Wirths (FDP),19,19/239,07.09.2021
105,Etzel (CDU),19,19/239,07.09.2021
106,Etzel (CDU),19,19/239,07.09.2021
107,Ollenhauer (SPD),19,19/239,07.09.2021
108,Kuntscher (CDU),19,19/239,07.09.2021
109,Reitzner (SPD),19,19/239,07.09.2021
110,Goetzendorff (WAV),19,19/239,07.09.2021
111,Renner (KPD),19,19/239,07.09.2021
112,Krause (Z),19,19/239,07.09.2021
113,Clausen (SSW),19,19/239,07.09.2021
114,Donhauser (BP),19,19/239,07.09.2021
