RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),11,11/236,22.11.1990
2,Böhm (SPD),11,11/236,22.11.1990
3,Ollenhauer (SPD),11,11/236,22.11.1990
4,Reimann (KPD),11,11/236,22.11.1990
5,Renner (KPD),11,11/236,22.11.1990
6,Ollenhauer (SPD),11,11/236,22.11.1990
7,Renner (KPD),11,11/236,22.11.1990
8,Zinn (SPD),11,11/236,22.11.1990
9,Zinn (SPD),11,11/236,22.11.1990
10,Blücher (FDP),11,11/236,22.11.1990
11,Renner (KPD),11,11/236,22.11.1990
12,Renner (KPD),11,11/236,22.11.1990
13,Ewers (DP),11,11/236,22.11.1990
14,Ewers (DP),11,11/236,22.11.1990
15,Ewers (DP),11,11/236,22.11.1990
16,Ewers (DP),11,11/236,22.11.1990
17,Ewers (DP),11,11/236,22.11.1990
18,Reimann (KPD),11,11/236,22.11.1990
19,Reimann (KPD),11,11/236,22.11.1990
20,Reimann (KPD),11,11/236,22.11.1990
21,Reimann (KPD),11,11/236,22.11.1990
22,Reimann (KPD),11,11/236,22.11.1990
23,Reimann (KPD),11,11/236,22.11.1990
24,Reimann (KPD),11,11/236,22.11.1990
25,Loritz (WAV),11,11/236,22.11.1990
26,Clausen (SSW),11,11/236,22.11.1990
27,Blank (CDU),11,11/236,22.11.1990
28,Blank (CDU),11,11/236,22.11.1990
29,Ollenhauer (SPD),11,11/236,22.11.1990
30,Rüdiger (FDP),11,11/236,22.11.1990
31,Rüdiger (FDP),11,11/236,22.11.1990
32,Ollenhauer (SPD),11,11/236,22.11.1990
33,Fisch (KPD),11,11/236,22.11.1990
34,Fisch (KPD),11,11/236,22.11.1990
35,Götzendorff (WAV),11,11/236,22.11.1990
36,Ribbeheger (Z),11,11/236,22.11.1990
37,Euler (FDP),11,11/236,22.11.1990
38,Etzel (CDU),11,11/236,22.11.1990
39,Euler (FDP),11,11/236,22.11.1990
40,Löfflad (WAV),11,11/236,22.11.1990
41,Rische (KPD),11,11/236,22.11.1990
42,Loritz (WAV),11,11/236,22.11.1990
43,Agatz (KPD),11,11/236,22.11.1990
44,Goetzendorff (WAV),11,11/236,22.11.1990
45,Strauß (CSU),11,11/236,22.11.1990
46,Mayer (FDP),11,11/236,22.11.1990
47,Euler (FDP),11,11/236,22.11.1990
48,Schoettle (SPD),11,11/236,22.11.1990
49,Schoettle (SPD),11,11/236,22.11.1990
50,Scharnberg (CDU),11,11/236,22.11.1990
51,Euler (FDP),11,11/236,22.11.1990
52,Schoettle (SPD),11,11/236,22.11.1990
53,Schoettle (SPD),11,11/236,22.11.1990
54,Schoettle (SPD),11,11/236,22.11.1990
55,Schoettle (SPD),11,11/236,22.11.1990
56,Euler (FDP),11,11/236,22.11.1990
57,Loritz (WAV),11,11/236,22.11.1990
58,Loritz (WAV),11,11/236,22.11.1990
59,Renner (KPD),11,11/236,22.11.1990
60,Schoettle (SPD),11,11/236,22.11.1990
61,Schoettle (SPD),11,11/236,22.11.1990
62,Kinat (SPD),11,11/236,22.11.1990
63,Renner (KPD),11,11/236,22.11.1990
64,Schoettle (SPD),11,11/236,22.11.1990
65,Gengler (CDU),11,11/236,22.11.1990
66,Schoettle (SPD),11,11/236,22.11.1990
67,Renner (KPD),11,11/236,22.11.1990
68,Scharnberg (CDU),11,11/236,22.11.1990
69,Schoettle (SPD),11,11/236,22.11.1990
70,Gengler (CDU),11,11/236,22.11.1990
71,Henßler (SPD),11,11/236,22.11.1990
72,Paul (KPD),11,11/236,22.11.1990
73,Tichi (WAV),11,11/236,22.11.1990
74,Henßler (SPD),11,11/236,22.11.1990
75,Paul (KPD),11,11/236,22.11.1990
76,Paul (KPD),11,11/236,22.11.1990
77,Paul (KPD),11,11/236,22.11.1990
78,Renner (KPD),11,11/236,22.11.1990
79,Renner (KPD),11,11/236,22.11.1990
80,Renner (KPD),11,11/236,22.11.1990
81,Strauß (CSU),11,11/236,22.11.1990
82,Zinn (SPD),11,11/236,22.11.1990
83,Zinn (SPD),11,11/236,22.11.1990
84,Euler (FDP),11,11/236,22.11.1990
85,Ollenhauer (SPD),11,11/236,22.11.1990
86,Renner (KPD),11,11/236,22.11.1990
87,Hilbert (CDU),11,11/236,22.11.1990
88,Renner (KPD),11,11/236,22.11.1990
89,Paul (KPD),11,11/236,22.11.1990
90,Loritz (WAV),11,11/236,22.11.1990
91,Kiesinger (CDU),11,11/236,22.11.1990
92,Kiesinger (CDU),11,11/236,22.11.1990
93,Farke (DP),11,11/236,22.11.1990
94,Kiesinger (CDU),11,11/236,22.11.1990
95,Renner (KPD),11,11/236,22.11.1990
96,Richter (SPD),11,11/236,22.11.1990
97,Arndgen (CDU),11,11/236,22.11.1990
98,Blank (CDU),11,11/236,22.11.1990
99,Richter (SPD),11,11/236,22.11.1990
100,Blank (CDU),11,11/236,22.11.1990
101,Karpf (CDU),11,11/236,22.11.1990
102,Paul (KPD),11,11/236,22.11.1990
103,Stierle (SPD),11,11/236,22.11.1990
104,Wirths (FDP),11,11/236,22.11.1990
105,Etzel (CDU),11,11/236,22.11.1990
106,Etzel (CDU),11,11/236,22.11.1990
107,Ollenhauer (SPD),11,11/236,22.11.1990
108,Kuntscher (CDU),11,11/236,22.11.1990
109,Reitzner (SPD),11,11/236,22.11.1990
110,Goetzendorff (WAV),11,11/236,22.11.1990
111,Renner (KPD),11,11/236,22.11.1990
112,Krause (Z),11,11/236,22.11.1990
113,Clausen (SSW),11,11/236,22.11.1990
114,Donhauser (BP),11,11/236,22.11.1990
115,Höfler (CDU),11,11/236,22.11.1990
116,Rische (KPD),11,11/236,22.11.1990
117,Rische (KPD),11,11/236,22.11.1990
118,Wehner (SPD),11,11/236,22.11.1990
119,Goetzendorff (WAV),11,11/236,22.11.1990
120,Renner (KPD),11,11/236,22.11.1990
121,Renner (KPD),11,11/236,22.11.1990
122,Renner (KPD),11,11/236,22.11.1990
123,Renner (KPD),11,11/236,22.11.1990
124,Jahn (SPD),11,11/236,22.11.1990
125,Jahn (SPD),11,11/236,22.11.1990
126,Ritzel (SPD),11,11/236,22.11.1990
127,Loritz (WAV),11,11/236,22.11.1990
128,Renner (KPD),11,11/236,22.11.1990
129,Strauss (CSU),11,11/236,22.11.1990
130,Löfflad (WAV),11,11/236,22.11.1990
131,Neuburger (CDU),11,11/236,22.11.1990
132,Renner (KPD),11,11/236,22.11.1990
133,Blank (CDU),11,11/236,22.11.1990
134,Euler (FDP),11,11/236,22.11.1990
135,Gundelach (KPD),11,11/236,22.11.1990
136,Neumann (SPD),11,11/236,22.11.1990
137,Nuding (KPD),11,11/236,22.11.1990
138,Nuding (KPD),11,11/236,22.11.1990
139,Strauß (CSU),11,11/236,22.11.1990
140,Renner (KPD),11,11/236,22.11.1990
141,Ollenhauer (SPD),11,11/236,22.11.1990
142,Renner (KPD),11,11/236,22.11.1990
143,Rische (KPD),11,11/236,22.11.1990
144,Mellies (SPD),11,11/236,22.11.1990
145,Paul (KPD),11,11/236,22.11.1990
146,Schoettle (SPD),11,11/236,22.11.1990
147,Paul (KPD),11,11/236,22.11.1990
148,Arndgen (CDU),11,11/236,22.11.1990
149,Richter (SPD),11,11/236,22.11.1990
150,Nuding (KPD),11,11/236,22.11.1990
151,Reitzner (SPD),11,11/236,22.11.1990
152,Bazille (SPD),11,11/236,22.11.1990
153,Bazille (SPD),11,11/236,22.11.1990
154,Renner (KPD),11,11/236,22.11.1990
155,Renner (KPD),11,11/236,22.11.1990
156,Ollenhauer (SPD),11,11/236,22.11.1990
157,Ollenhauer (SPD),11,11/236,22.11.1990
158,Renner (KPD),11,11/236,22.11.1990
159,Renner (KPD),11,11/236,22.11.1990
160,Renner (KPD),11,11/236,22.11.1990
161,Renner (KPD),11,11/236,22.11.1990
162,Renner (KPD),11,11/236,22.11.1990
163,Renner (KPD),11,11/236,22.11.1990
164,Renner (KPD),11,11/236,22.11.1990
165,Euler (FDP),11,11/236,22.11.1990
166,Zinn (SPD),11,11/236,22.11.1990
167,Rademacher (FDP),11,11/236,22.11.1990
168,Rische (KPD),11,11/236,22.11.1990
169,Rische (KPD),11,11/236,22.11.1990
170,Leddin (SPD),11,11/236,22.11.1990
171,Seuffert (SPD),11,11/236,22.11.1990
172,Leibbrand (KPD),11,11/236,22.11.1990
173,Goetzendorff (WAV),11,11/236,22.11.1990
174,Hilbert (CDU),11,11/236,22.11.1990
175,Renner (KPD),11,11/236,22.11.1990
176,Ollenhauer (SPD),11,11/236,22.11.1990
177,Ollenhauer (SPD),11,11/236,22.11.1990
178,Euler (FDP),11,11/236,22.11.1990
179,Zinn (SPD),11,11/236,22.11.1990
180,Renner (KPD),11,11/236,22.11.1990
181,Löbe (SPD),11,11/236,22.11.1990
182,Euler (FDP),11,11/236,22.11.1990
183,Reimann (KPD),11,11/236,22.11.1990
184,Reimann (KPD),11,11/236,22.11.1990
185,Reimann (KPD),11,11/236,22.11.1990
186,Loritz (WAV),11,11/236,22.11.1990
187,Fisch (KPD),11,11/236,22.11.1990
188,Fisch (KPD),11,11/236,22.11.1990
189,Strauss (CSU),11,11/236,22.11.1990
190,Gundelach (KPD),11,11/236,22.11.1990
191,Pannenbecker (Z),11,11/236,22.11.1990
192,Farke (DP),11,11/236,22.11.1990
193,Donhauser (BP),11,11/236,22.11.1990
194,Pannenbecker (Z),11,11/236,22.11.1990
195,Strauss (CSU),11,11/236,22.11.1990
196,Kiesinger (CDU),11,11/236,22.11.1990
197,Gockeln (CDU),11,11/236,22.11.1990
198,Loritz (WAV),11,11/236,22.11.1990
199,Fisch (KPD),11,11/236,22.11.1990
200,Fisch (KPD),11,11/236,22.11.1990
201,Fisch (KPD),11,11/236,22.11.1990
202,Fisch (KPD),11,11/236,22.11.1990
203,Fisch (KPD),11,11/236,22.11.1990
204,Fisch (KPD),11,11/236,22.11.1990
205,Loritz (WAV),11,11/236,22.11.1990
206,Loritz (WAV),11,11/236,22.11.1990
207,Loritz (WAV),11,11/236,22.11.1990
208,Loritz (WAV),11,11/236,22.11.1990
209,Ollenhauer (SPD),11,11/236,22.11.1990
210,Ollenhauer (SPD),11,11/236,22.11.1990
211,Ollenhauer (SPD),11,11/236,22.11.1990
212,Bausch (CDU),11,11/236,22.11.1990
213,Euler (FDP),11,11/236,22.11.1990
214,Fisch (KPD),11,11/236,22.11.1990
215,Fisch (KPD),11,11/236,22.11.1990
216,Fisch (KPD),11,11/236,22.11.1990
217,Euler (FDP),11,11/236,22.11.1990
218,Strauss (CSU),11,11/236,22.11.1990
219,Ribbeheger (Z),11,11/236,22.11.1990
220,Strauss (CSU),11,11/236,22.11.1990
221,Strauss (CSU),11,11/236,22.11.1990
222,Strauss (CSU),11,11/236,22.11.1990
223,Walter (DP),11,11/236,22.11.1990
224,Rademacher (FDP),11,11/236,22.11.1990
225,Niebergall (KPD),11,11/236,22.11.1990
226,Stahl (FDP),11,11/236,22.11.1990
227,Arndgen (CDU),11,11/236,22.11.1990
228,Pohle (SPD),11,11/236,22.11.1990
229,Leddin (SPD),11,11/236,22.11.1990
230,Sabel (CDU),11,11/236,22.11.1990
231,Krause (Z),11,11/236,22.11.1990
232,Renner (KPD),11,11/236,22.11.1990
233,Renner (KPD),11,11/236,22.11.1990
234,Pohle (SPD),11,11/236,22.11.1990
235,Sabel (CDU),11,11/236,22.11.1990
236,Rademacher (FDP),11,11/236,22.11.1990
237,Renner (KPD),11,11/236,22.11.1990
238,Ewers (DP),11,11/236,22.11.1990
239,Euler (FDP),11,11/236,22.11.1990
240,Leibbrand (KPD),11,11/236,22.11.1990
241,Loritz (WAV),11,11/236,22.11.1990
242,Loritz (WAV),11,11/236,22.11.1990
243,Rische (KPD),11,11/236,22.11.1990
244,Rische (KPD),11,11/236,22.11.1990
245,Rische (KPD),11,11/236,22.11.1990
246,Rische (KPD),11,11/236,22.11.1990
247,Rische (KPD),11,11/236,22.11.1990
248,Schoettle (SPD),11,11/236,22.11.1990
249,Schuster (WAV),11,11/236,22.11.1990
250,Gundelach (KPD),11,11/236,22.11.1990
251,Loritz (WAV),11,11/236,22.11.1990
252,Mertins (SPD),11,11/236,22.11.1990
253,Harig (KPD),11,11/236,22.11.1990
254,Harig (KPD),11,11/236,22.11.1990
255,Sabel (CDU/CSU),11,11/236,22.11.1990
256,Nuding (KPD),11,11/236,22.11.1990
257,Stücklen (CSU),11,11/236,22.11.1990
258,Wönner (SPD),11,11/236,22.11.1990
259,Arnholz (SPD),11,11/236,22.11.1990
260,Euler (FDP),11,11/236,22.11.1990
261,Euler (FDP),11,11/236,22.11.1990
262,Nuding (KPD),11,11/236,22.11.1990
263,Nuding (KPD),11,11/236,22.11.1990
