RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),7,07/259,08.12.1976
2,Böhm (SPD),7,07/259,08.12.1976
3,Ollenhauer (SPD),7,07/259,08.12.1976
4,Reimann (KPD),7,07/259,08.12.1976
5,Renner (KPD),7,07/259,08.12.1976
6,Ollenhauer (SPD),7,07/259,08.12.1976
7,Renner (KPD),7,07/259,08.12.1976
8,Zinn (SPD),7,07/259,08.12.1976
9,Zinn (SPD),7,07/259,08.12.1976
10,Blücher (FDP),7,07/259,08.12.1976
11,Renner (KPD),7,07/259,08.12.1976
12,Renner (KPD),7,07/259,08.12.1976
13,Ewers (DP),7,07/259,08.12.1976
14,Ewers (DP),7,07/259,08.12.1976
15,Ewers (DP),7,07/259,08.12.1976
16,Ewers (DP),7,07/259,08.12.1976
17,Ewers (DP),7,07/259,08.12.1976
18,Reimann (KPD),7,07/259,08.12.1976
19,Reimann (KPD),7,07/259,08.12.1976
20,Reimann (KPD),7,07/259,08.12.1976
21,Reimann (KPD),7,07/259,08.12.1976
22,Reimann (KPD),7,07/259,08.12.1976
23,Reimann (KPD),7,07/259,08.12.1976
24,Reimann (KPD),7,07/259,08.12.1976
25,Loritz (WAV),7,07/259,08.12.1976
26,Clausen (SSW),7,07/259,08.12.1976
27,Blank (CDU),7,07/259,08.12.1976
28,Blank (CDU),7,07/259,08.12.1976
29,Ollenhauer (SPD),7,07/259,08.12.1976
30,Rüdiger (FDP),7,07/259,08.12.1976
31,Rüdiger (FDP),7,07/259,08.12.1976
32,Ollenhauer (SPD),7,07/259,08.12.1976
33,Fisch (KPD),7,07/259,08.12.1976
34,Fisch (KPD),7,07/259,08.12.1976
35,Götzendorff (WAV),7,07/259,08.12.1976
36,Ribbeheger (Z),7,07/259,08.12.1976
37,Euler (FDP),7,07/259,08.12.1976
38,Etzel (CDU),7,07/259,08.12.1976
39,Euler (FDP),7,07/259,08.12.1976
40,Löfflad (WAV),7,07/259,08.12.1976
