RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),18,18/245,05.09.2017
2,Böhm (SPD),18,18/245,05.09.2017
3,Ollenhauer (SPD),18,18/245,05.09.2017
4,Reimann (KPD),18,18/245,05.09.2017
5,Renner (KPD),18,18/245,05.09.2017
6,Ollenhauer (SPD),18,18/245,05.09.2017
7,Renner (KPD),18,18/245,05.09.2017
8,Zinn (SPD),18,18/245,05.09.2017
9,Zinn (SPD),18,18/245,05.09.2017
10,Blücher (FDP),18,18/245,05.09.2017
11,Renner (KPD),18,18/245,05.09.2017
12,Renner (KPD),18,18/245,05.09.2017
13,Ewers (DP),18,18/245,05.09.2017
14,Ewers (DP),18,18/245,05.09.2017
15,Ewers (DP),18,18/245,05.09.2017
16,Ewers (DP),18,18/245,05.09.2017
17,Ewers (DP),18,18/245,05.09.2017
18,Reimann (KPD),18,18/245,05.09.2017
19,Reimann (KPD),18,18/245,05.09.2017
20,Reimann (KPD),18,18/245,05.09.2017
21,Reimann (KPD),18,18/245,05.09.2017
22,Reimann (KPD),18,18/245,05.09.2017
23,Reimann (KPD),18,18/245,05.09.2017
24,Reimann (KPD),18,18/245,05.09.2017
25,Loritz (WAV),18,18/245,05.09.2017
26,Clausen (SSW),18,18/245,05.09.2017
27,Blank (CDU),18,18/245,05.09.2017
28,Blank (CDU),18,18/245,05.09.2017
29,Ollenhauer (SPD),18,18/245,05.09.2017
30,Rüdiger (FDP),18,18/245,05.09.2017
31,Rüdiger (FDP),18,18/245,05.09.2017
32,Ollenhauer (SPD),18,18/245,05.09.2017
33,Fisch (KPD),18,18/245,05.09.2017
34,Fisch (KPD),18,18/245,05.09.2017
35,Götzendorff (WAV),18,18/245,05.09.2017
36,Ribbeheger (Z),18,18/245,05.09.2017
37,Euler (FDP),18,18/245,05.09.2017
38,Etzel (CDU),18,18/245,05.09.2017
39,Euler (FDP),18,18/245,05.09.2017
40,Löfflad (WAV),18,18/245,05.09.2017
41,Rische (KPD),18,18/245,05.09.2017
42,Loritz (WAV),18,18/245,05.09.2017
43,Agatz (KPD),18,18/245,05.09.2017
44,Goetzendorff (WAV),18,18/245,05.09.2017
45,Strauß (CSU),18,18/245,05.09.2017
46,Mayer (FDP),18,18/245,05.09.2017
47,Euler (FDP),18,18/245,05.09.2017
48,Schoettle (SPD),18,18/245,05.09.2017
49,Schoettle (SPD),18,18/245,05.09.2017
50,Scharnberg (CDU),18,18/245,05.09.2017
51,Euler (FDP),18,18/245,05.09.2017
52,Schoettle (SPD),18,18/245,05.09.2017
53,Schoettle (SPD),18,18/245,05.09.2017
54,Schoettle (SPD),18,18/245,05.09.2017
55,Schoettle (SPD),18,18/245,05.09.2017
56,Euler (FDP),18,18/245,05.09.2017
57,Loritz (WAV),18,18/245,05.09.2017
58,Loritz (WAV),18,18/245,05.09.2017
59,Renner (KPD),18,18/245,05.09.2017
60,Schoettle (SPD),18,18/245,05.09.2017
61,Schoettle (SPD),18,18/245,05.09.2017
62,Kinat (SPD),18,18/245,05.09.2017
63,Renner (KPD),18,18/245,05.09.2017
64,Schoettle (SPD),18,18/245,05.09.2017
65,Gengler (CDU),18,18/245,05.09.2017
66,Schoettle (SPD),18,18/245,05.09.2017
67,Renner (KPD),18,18/245,05.09.2017
68,Scharnberg (CDU),18,18/245,05.09.2017
69,Schoettle (SPD),18,18/245,05.09.2017
70,Gengler (CDU),18,18/245,05.09.2017
71,Henßler (SPD),18,18/245,05.09.2017
72,Paul (KPD),18,18/245,05.09.2017
73,Tichi (WAV),18,18/245,05.09.2017
74,Henßler (SPD),18,18/245,05.09.2017
75,Paul (KPD),18,18/245,05.09.2017
76,Paul (KPD),18,18/245,05.09.2017
77,Paul (KPD),18,18/245,05.09.2017
78,Renner (KPD),18,18/245,05.09.2017
79,Renner (KPD),18,18/245,05.09.2017
80,Renner (KPD),18,18/245,05.09.2017
81,Strauß (CSU),18,18/245,05.09.2017
82,Zinn (SPD),18,18/245,05.09.2017
83,Zinn (SPD),18,18/245,05.09.2017
84,Euler (FDP),18,18/245,05.09.2017
85,Ollenhauer (SPD),18,18/245,05.09.2017
86,Renner (KPD),18,18/245,05.09.2017
87,Hilbert (CDU),18,18/245,05.09.2017
88,Renner (KPD),18,18/245,05.09.2017
89,Paul (KPD),18,18/245,05.09.2017
90,Loritz (WAV),18,18/245,05.09.2017
91,Kiesinger (CDU),18,18/245,05.09.2017
92,Kiesinger (CDU),18,18/245,05.09.2017
93,Farke (DP),18,18/245,05.09.2017
94,Kiesinger (CDU),18,18/245,05.09.2017
95,Renner (KPD),18,18/245,05.09.2017
96,Richter (SPD),18,18/245,05.09.2017
97,Arndgen (CDU),18,18/245,05.09.2017
98,Blank (CDU),18,18/245,05.09.2017
99,Richter (SPD),18,18/245,05.09.2017
100,Blank (CDU),18,18/245,05.09.2017
101,Karpf (CDU),18,18/245,05.09.2017
102,Paul (KPD),18,18/245,05.09.2017
103,Stierle (SPD),18,18/245,05.09.2017
104,Wirths (FDP),18,18/245,05.09.2017
105,Etzel (CDU),18,18/245,05.09.2017
106,Etzel (CDU),18,18/245,05.09.2017
107,Ollenhauer (SPD),18,18/245,05.09.2017
108,Kuntscher (CDU),18,18/245,05.09.2017
109,Reitzner (SPD),18,18/245,05.09.2017
110,Goetzendorff (WAV),18,18/245,05.09.2017
111,Renner (KPD),18,18/245,05.09.2017
112,Krause (Z),18,18/245,05.09.2017
113,Clausen (SSW),18,18/245,05.09.2017
114,Donhauser (BP),18,18/245,05.09.2017
115,Höfler (CDU),18,18/245,05.09.2017
116,Rische (KPD),18,18/245,05.09.2017
117,Rische (KPD),18,18/245,05.09.2017
118,Wehner (SPD),18,18/245,05.09.2017
