RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),14,14/253,13.09.2002
2,Böhm (SPD),14,14/253,13.09.2002
3,Ollenhauer (SPD),14,14/253,13.09.2002
4,Reimann (KPD),14,14/253,13.09.2002
5,Renner (KPD),14,14/253,13.09.2002
6,Ollenhauer (SPD),14,14/253,13.09.2002
7,Renner (KPD),14,14/253,13.09.2002
8,Zinn (SPD),14,14/253,13.09.2002
9,Zinn (SPD),14,14/253,13.09.2002
10,Blücher (FDP),14,14/253,13.09.2002
11,Renner (KPD),14,14/253,13.09.2002
12,Renner (KPD),14,14/253,13.09.2002
13,Ewers (DP),14,14/253,13.09.2002
14,Ewers (DP),14,14/253,13.09.2002
15,Ewers (DP),14,14/253,13.09.2002
16,Ewers (DP),14,14/253,13.09.2002
17,Ewers (DP),14,14/253,13.09.2002
18,Reimann (KPD),14,14/253,13.09.2002
19,Reimann (KPD),14,14/253,13.09.2002
20,Reimann (KPD),14,14/253,13.09.2002
21,Reimann (KPD),14,14/253,13.09.2002
22,Reimann (KPD),14,14/253,13.09.2002
23,Reimann (KPD),14,14/253,13.09.2002
24,Reimann (KPD),14,14/253,13.09.2002
25,Loritz (WAV),14,14/253,13.09.2002
26,Clausen (SSW),14,14/253,13.09.2002
27,Blank (CDU),14,14/253,13.09.2002
28,Blank (CDU),14,14/253,13.09.2002
29,Ollenhauer (SPD),14,14/253,13.09.2002
30,Rüdiger (FDP),14,14/253,13.09.2002
31,Rüdiger (FDP),14,14/253,13.09.2002
32,Ollenhauer (SPD),14,14/253,13.09.2002
33,Fisch (KPD),14,14/253,13.09.2002
34,Fisch (KPD),14,14/253,13.09.2002
35,Götzendorff (WAV),14,14/253,13.09.2002
36,Ribbeheger (Z),14,14/253,13.09.2002
37,Euler (FDP),14,14/253,13.09.2002
38,Etzel (CDU),14,14/253,13.09.2002
39,Euler (FDP),14,14/253,13.09.2002
40,Löfflad (WAV),14,14/253,13.09.2002
41,Rische (KPD),14,14/253,13.09.2002
42,Loritz (WAV),14,14/253,13.09.2002
43,Agatz (KPD),14,14/253,13.09.2002
44,Goetzendorff (WAV),14,14/253,13.09.2002
45,Strauß (CSU),14,14/253,13.09.2002
46,Mayer (FDP),14,14/253,13.09.2002
47,Euler (FDP),14,14/253,13.09.2002
48,Schoettle (SPD),14,14/253,13.09.2002
49,Schoettle (SPD),14,14/253,13.09.2002
50,Scharnberg (CDU),14,14/253,13.09.2002
51,Euler (FDP),14,14/253,13.09.2002
52,Schoettle (SPD),14,14/253,13.09.2002
53,Schoettle (SPD),14,14/253,13.09.2002
54,Schoettle (SPD),14,14/253,13.09.2002
55,Schoettle (SPD),14,14/253,13.09.2002
56,Euler (FDP),14,14/253,13.09.2002
57,Loritz (WAV),14,14/253,13.09.2002
58,Loritz (WAV),14,14/253,13.09.2002
59,Renner (KPD),14,14/253,13.09.2002
60,Schoettle (SPD),14,14/253,13.09.2002
61,Schoettle (SPD),14,14/253,13.09.2002
62,Kinat (SPD),14,14/253,13.09.2002
63,Renner (KPD),14,14/253,13.09.2002
64,Schoettle (SPD),14,14/253,13.09.2002
65,Gengler (CDU),14,14/253,13.09.2002
66,Schoettle (SPD),14,14/253,13.09.2002
67,Renner (KPD),14,14/253,13.09.2002
68,Scharnberg (CDU),14,14/253,13.09.2002
69,Schoettle (SPD),14,14/253,13.09.2002
70,Gengler (CDU),14,14/253,13.09.2002
71,Henßler (SPD),14,14/253,13.09.2002
72,Paul (KPD),14,14/253,13.09.2002
73,Tichi (WAV),14,14/253,13.09.2002
74,Henßler (SPD),14,14/253,13.09.2002
75,Paul (KPD),14,14/253,13.09.2002
76,Paul (KPD),14,14/253,13.09.2002
77,Paul (KPD),14,14/253,13.09.2002
78,Renner (KPD),14,14/253,13.09.2002
79,Renner (KPD),14,14/253,13.09.2002
80,Renner (KPD),14,14/253,13.09.2002
81,Strauß (CSU),14,14/253,13.09.2002
82,Zinn (SPD),14,14/253,13.09.2002
83,Zinn (SPD),14,14/253,13.09.2002
84,Euler (FDP),14,14/253,13.09.2002
85,Ollenhauer (SPD),14,14/253,13.09.2002
86,Renner (KPD),14,14/253,13.09.2002
87,Hilbert (CDU),14,14/253,13.09.2002
88,Renner (KPD),14,14/253,13.09.2002
89,Paul (KPD),14,14/253,13.09.2002
90,Loritz (WAV),14,14/253,13.09.2002
91,Kiesinger (CDU),14,14/253,13.09.2002
92,Kiesinger (CDU),14,14/253,13.09.2002
93,Farke (DP),14,14/253,13.09.2002
94,Kiesinger (CDU),14,14/253,13.09.2002
95,Renner (KPD),14,14/253,13.09.2002
96,Richter (SPD),14,14/253,13.09.2002
97,Arndgen (CDU),14,14/253,13.09.2002
98,Blank (CDU),14,14/253,13.09.2002
99,Richter (SPD),14,14/253,13.09.2002
100,Blank (CDU),14,14/253,13.09.2002
101,Karpf (CDU),14,14/253,13.09.2002
102,Paul (KPD),14,14/253,13.09.2002
103,Stierle (SPD),14,14/253,13.09.2002
104,Wirths (FDP),14,14/253,13.09.2002
105,Etzel (CDU),14,14/253,13.09.2002
106,Etzel (CDU),14,14/253,13.09.2002
107,Ollenhauer (SPD),14,14/253,13.09.2002
108,Kuntscher (CDU),14,14/253,13.09.2002
109,Reitzner (SPD),14,14/253,13.09.2002
110,Goetzendorff (WAV),14,14/253,13.09.2002
111,Renner (KPD),14,14/253,13.09.2002
112,Krause (Z),14,14/253,13.09.2002
113,Clausen (SSW),14,14/253,13.09.2002
114,Donhauser (BP),14,14/253,13.09.2002
115,Höfler (CDU),14,14/253,13.09.2002
116,Rische (KPD),14,14/253,13.09.2002
117,Rische (KPD),14,14/253,13.09.2002
118,Wehner (SPD),14,14/253,13.09.2002
119,Goetzendorff (WAV),14,14/253,13.09.2002
120,Renner (KPD),14,14/253,13.09.2002
121,Renner (KPD),14,14/253,13.09.2002
122,Renner (KPD),14,14/253,13.09.2002
123,Renner (KPD),14,14/253,13.09.2002
124,Jahn (SPD),14,14/253,13.09.2002
125,Jahn (SPD),14,14/253,13.09.2002
126,Ritzel (SPD),14,14/253,13.09.2002
127,Loritz (WAV),14,14/253,13.09.2002
128,Renner (KPD),14,14/253,13.09.2002
129,Strauss (CSU),14,14/253,13.09.2002
130,Löfflad (WAV),14,14/253,13.09.2002
131,Neuburger (CDU),14,14/253,13.09.2002
132,Renner (KPD),14,14/253,13.09.2002
