RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),6,06/199,22.09.1972
2,Böhm (SPD),6,06/199,22.09.1972
3,Ollenhauer (SPD),6,06/199,22.09.1972
4,Reimann (KPD),6,06/199,22.09.1972
5,Renner (KPD),6,06/199,22.09.1972
6,Ollenhauer (SPD),6,06/199,22.09.1972
7,Renner (KPD),6,06/199,22.09.1972
8,Zinn (SPD),6,06/199,22.09.1972
9,Zinn (SPD),6,06/199,22.09.1972
10,Blücher (FDP),6,06/199,22.09.1972
11,Renner (KPD),6,06/199,22.09.1972
12,Renner (KPD),6,06/199,22.09.1972
13,Ewers (DP),6,06/199,22.09.1972
14,Ewers (DP),6,06/199,22.09.1972
15,Ewers (DP),6,06/199,22.09.1972
16,Ewers (DP),6,06/199,22.09.1972
17,Ewers (DP),6,06/199,22.09.1972
18,Reimann (KPD),6,06/199,22.09.1972
19,Reimann (KPD),6,06/199,22.09.1972
20,Reimann (KPD),6,06/199,22.09.1972
21,Reimann (KPD),6,06/199,22.09.1972
22,Reimann (KPD),6,06/199,22.09.1972
23,Reimann (KPD),6,06/199,22.09.1972
24,Reimann (KPD),6,06/199,22.09.1972
25,Loritz (WAV),6,06/199,22.09.1972
26,Clausen (SSW),6,06/199,22.09.1972
27,Blank (CDU),6,06/199,22.09.1972
28,Blank (CDU),6,06/199,22.09.1972
29,Ollenhauer (SPD),6,06/199,22.09.1972
30,Rüdiger (FDP),6,06/199,22.09.1972
31,Rüdiger (FDP),6,06/199,22.09.1972
32,Ollenhauer (SPD),6,06/199,22.09.1972
33,Fisch (KPD),6,06/199,22.09.1972
34,Fisch (KPD),6,06/199,22.09.1972
35,Götzendorff (WAV),6,06/199,22.09.1972
36,Ribbeheger (Z),6,06/199,22.09.1972
37,Euler (FDP),6,06/199,22.09.1972
38,Etzel (CDU),6,06/199,22.09.1972
39,Euler (FDP),6,06/199,22.09.1972
40,Löfflad (WAV),6,06/199,22.09.1972
41,Rische (KPD),6,06/199,22.09.1972
42,Loritz (WAV),6,06/199,22.09.1972
43,Agatz (KPD),6,06/199,22.09.1972
44,Goetzendorff (WAV),6,06/199,22.09.1972
45,Strauß (CSU),6,06/199,22.09.1972
46,Mayer (FDP),6,06/199,22.09.1972
47,Euler (FDP),6,06/199,22.09.1972
48,Schoettle (SPD),6,06/199,22.09.1972
49,Schoettle (SPD),6,06/199,22.09.1972
50,Scharnberg (CDU),6,06/199,22.09.1972
51,Euler (FDP),6,06/199,22.09.1972
52,Schoettle (SPD),6,06/199,22.09.1972
53,Schoettle (SPD),6,06/199,22.09.1972
54,Schoettle (SPD),6,06/199,22.09.1972
55,Schoettle (SPD),6,06/199,22.09.1972
56,Euler (FDP),6,06/199,22.09.1972
57,Loritz (WAV),6,06/199,22.09.1972
58,Loritz (WAV),6,06/199,22.09.1972
