RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),5,05/247,03.07.1969
2,Böhm (SPD),5,05/247,03.07.1969
3,Ollenhauer (SPD),5,05/247,03.07.1969
4,Reimann (KPD),5,05/247,03.07.1969
5,Renner (KPD),5,05/247,03.07.1969
6,Ollenhauer (SPD),5,05/247,03.07.1969
7,Renner (KPD),5,05/247,03.07.1969
8,Zinn (SPD),5,05/247,03.07.1969
9,Zinn (SPD),5,05/247,03.07.1969
10,Blücher (FDP),5,05/247,03.07.1969
11,Renner (KPD),5,05/247,03.07.1969
12,Renner (KPD),5,05/247,03.07.1969
13,Ewers (DP),5,05/247,03.07.1969
14,Ewers (DP),5,05/247,03.07.1969
15,Ewers (DP),5,05/247,03.07.1969
16,Ewers (DP),5,05/247,03.07.1969
17,Ewers (DP),5,05/247,03.07.1969
18,Reimann (KPD),5,05/247,03.07.1969
19,Reimann (KPD),5,05/247,03.07.1969
20,Reimann (KPD),5,05/247,03.07.1969
21,Reimann (KPD),5,05/247,03.07.1969
22,Reimann (KPD),5,05/247,03.07.1969
23,Reimann (KPD),5,05/247,03.07.1969
24,Reimann (KPD),5,05/247,03.07.1969
25,Loritz (WAV),5,05/247,03.07.1969
26,Clausen (SSW),5,05/247,03.07.1969
27,Blank (CDU),5,05/247,03.07.1969
28,Blank (CDU),5,05/247,03.07.1969
29,Ollenhauer (SPD),5,05/247,03.07.1969
30,Rüdiger (FDP),5,05/247,03.07.1969
31,Rüdiger (FDP),5,05/247,03.07.1969
32,Ollenhauer (SPD),5,05/247,03.07.1969
33,Fisch (KPD),5,05/247,03.07.1969
34,Fisch (KPD),5,05/247,03.07.1969
35,Götzendorff (WAV),5,05/247,03.07.1969
36,Ribbeheger (Z),5,05/247,03.07.1969
37,Euler (FDP),5,05/247,03.07.1969
38,Etzel (CDU),5,05/247,03.07.1969
39,Euler (FDP),5,05/247,03.07.1969
40,Löfflad (WAV),5,05/247,03.07.1969
41,Rische (KPD),5,05/247,03.07.1969
42,Loritz (WAV),5,05/247,03.07.1969
43,Agatz (KPD),5,05/247,03.07.1969
44,Goetzendorff (WAV),5,05/247,03.07.1969
45,Strauß (CSU),5,05/247,03.07.1969
46,Mayer (FDP),5,05/247,03.07.1969
47,Euler (FDP),5,05/247,03.07.1969
48,Schoettle (SPD),5,05/247,03.07.1969
49,Schoettle (SPD),5,05/247,03.07.1969
50,Scharnberg (CDU),5,05/247,03.07.1969
51,Euler (FDP),5,05/247,03.07.1969
52,Schoettle (SPD),5,05/247,03.07.1969
53,Schoettle (SPD),5,05/247,03.07.1969
54,Schoettle (SPD),5,05/247,03.07.1969
55,Schoettle (SPD),5,05/247,03.07.1969
56,Euler (FDP),5,05/247,03.07.1969
57,Loritz (WAV),5,05/247,03.07.1969
58,Loritz (WAV),5,05/247,03.07.1969
59,Renner (KPD),5,05/247,03.07.1969
60,Schoettle (SPD),5,05/247,03.07.1969
61,Schoettle (SPD),5,05/247,03.07.1969
62,Kinat (SPD),5,05/247,03.07.1969
63,Renner (KPD),5,05/247,03.07.1969
64,Schoettle (SPD),5,05/247,03.07.1969
65,Gengler (CDU),5,05/247,03.07.1969
66,Schoettle (SPD),5,05/247,03.07.1969
67,Renner (KPD),5,05/247,03.07.1969
68,Scharnberg (CDU),5,05/247,03.07.1969
69,Schoettle (SPD),5,05/247,03.07.1969
70,Gengler (CDU),5,05/247,03.07.1969
71,Henßler (SPD),5,05/247,03.07.1969
72,Paul (KPD),5,05/247,03.07.1969
73,Tichi (WAV),5,05/247,03.07.1969
74,Henßler (SPD),5,05/247,03.07.1969
75,Paul (KPD),5,05/247,03.07.1969
76,Paul (KPD),5,05/247,03.07.1969
77,Paul (KPD),5,05/247,03.07.1969
78,Renner (KPD),5,05/247,03.07.1969
79,Renner (KPD),5,05/247,03.07.1969
80,Renner (KPD),5,05/247,03.07.1969
81,Strauß (CSU),5,05/247,03.07.1969
82,Zinn (SPD),5,05/247,03.07.1969
83,Zinn (SPD),5,05/247,03.07.1969
84,Euler (FDP),5,05/247,03.07.1969
85,Ollenhauer (SPD),5,05/247,03.07.1969
86,Renner (KPD),5,05/247,03.07.1969
87,Hilbert (CDU),5,05/247,03.07.1969
88,Renner (KPD),5,05/247,03.07.1969
89,Paul (KPD),5,05/247,03.07.1969
90,Loritz (WAV),5,05/247,03.07.1969
91,Kiesinger (CDU),5,05/247,03.07.1969
92,Kiesinger (CDU),5,05/247,03.07.1969
93,Farke (DP),5,05/247,03.07.1969
94,Kiesinger (CDU),5,05/247,03.07.1969
95,Renner (KPD),5,05/247,03.07.1969
96,Richter (SPD),5,05/247,03.07.1969
97,Arndgen (CDU),5,05/247,03.07.1969
98,Blank (CDU),5,05/247,03.07.1969
99,Richter (SPD),5,05/247,03.07.1969
100,Blank (CDU),5,05/247,03.07.1969
101,Karpf (CDU),5,05/247,03.07.1969
102,Paul (KPD),5,05/247,03.07.1969
103,Stierle (SPD),5,05/247,03.07.1969
104,Wirths (FDP),5,05/247,03.07.1969
105,Etzel (CDU),5,05/247,03.07.1969
106,Etzel (CDU),5,05/247,03.07.1969
107,Ollenhauer (SPD),5,05/247,03.07.1969
108,Kuntscher (CDU),5,05/247,03.07.1969
109,Reitzner (SPD),5,05/247,03.07.1969
110,Goetzendorff (WAV),5,05/247,03.07.1969
111,Renner (KPD),5,05/247,03.07.1969
112,Krause (Z),5,05/247,03.07.1969
113,Clausen (SSW),5,05/247,03.07.1969
114,Donhauser (BP),5,05/247,03.07.1969
115,Höfler (CDU),5,05/247,03.07.1969
116,Rische (KPD),5,05/247,03.07.1969
117,Rische (KPD),5,05/247,03.07.1969
118,Wehner (SPD),5,05/247,03.07.1969
119,Goetzendorff (WAV),5,05/247,03.07.1969
120,Renner (KPD),5,05/247,03.07.1969
121,Renner (KPD),5,05/247,03.07.1969
122,Renner (KPD),5,05/247,03.07.1969
123,Renner (KPD),5,05/247,03.07.1969
124,Jahn (SPD),5,05/247,03.07.1969
125,Jahn (SPD),5,05/247,03.07.1969
126,Ritzel (SPD),5,05/247,03.07.1969
127,Loritz (WAV),5,05/247,03.07.1969
128,Renner (KPD),5,05/247,03.07.1969
129,Strauss (CSU),5,05/247,03.07.1969
130,Löfflad (WAV),5,05/247,03.07.1969
131,Neuburger (CDU),5,05/247,03.07.1969
132,Renner (KPD),5,05/247,03.07.1969
133,Blank (CDU),5,05/247,03.07.1969
134,Euler (FDP),5,05/247,03.07.1969
135,Gundelach (KPD),5,05/247,03.07.1969
136,Neumann (SPD),5,05/247,03.07.1969
137,Nuding (KPD),5,05/247,03.07.1969
138,Nuding (KPD),5,05/247,03.07.1969
139,Strauß (CSU),5,05/247,03.07.1969
140,Renner (KPD),5,05/247,03.07.1969
141,Ollenhauer (SPD),5,05/247,03.07.1969
142,Renner (KPD),5,05/247,03.07.1969
143,Rische (KPD),5,05/247,03.07.1969
144,Mellies (SPD),5,05/247,03.07.1969
145,Paul (KPD),5,05/247,03.07.1969
146,Schoettle (SPD),5,05/247,03.07.1969
147,Paul (KPD),5,05/247,03.07.1969
148,Arndgen (CDU),5,05/247,03.07.1969
149,Richter (SPD),5,05/247,03.07.1969
150,Nuding (KPD),5,05/247,03.07.1969
151,Reitzner (SPD),5,05/247,03.07.1969
152,Bazille (SPD),5,05/247,03.07.1969
153,Bazille (SPD),5,05/247,03.07.1969
154,Renner (KPD),5,05/247,03.07.1969
155,Renner (KPD),5,05/247,03.07.1969
156,Ollenhauer (SPD),5,05/247,03.07.1969
157,Ollenhauer (SPD),5,05/247,03.07.1969
158,Renner (KPD),5,05/247,03.07.1969
159,Renner (KPD),5,05/247,03.07.1969
160,Renner (KPD),5,05/247,03.07.1969
161,Renner (KPD),5,05/247,03.07.1969
162,Renner (KPD),5,05/247,03.07.1969
163,Renner (KPD),5,05/247,03.07.1969
164,Renner (KPD),5,05/247,03.07.1969
165,Euler (FDP),5,05/247,03.07.1969
166,Zinn (SPD),5,05/247,03.07.1969
167,Rademacher (FDP),5,05/247,03.07.1969
168,Rische (KPD),5,05/247,03.07.1969
169,Rische (KPD),5,05/247,03.07.1969
170,Leddin (SPD),5,05/247,03.07.1969
171,Seuffert (SPD),5,05/247,03.07.1969
172,Leibbrand (KPD),5,05/247,03.07.1969
173,Goetzendorff (WAV),5,05/247,03.07.1969
174,Hilbert (CDU),5,05/247,03.07.1969
175,Renner (KPD),5,05/247,03.07.1969
176,Ollenhauer (SPD),5,05/247,03.07.1969
177,Ollenhauer (SPD),5,05/247,03.07.1969
178,Euler (FDP),5,05/247,03.07.1969
179,Zinn (SPD),5,05/247,03.07.1969
180,Renner (KPD),5,05/247,03.07.1969
181,Löbe (SPD),5,05/247,03.07.1969
182,Euler (FDP),5,05/247,03.07.1969
183,Reimann (KPD),5,05/247,03.07.1969
184,Reimann (KPD),5,05/247,03.07.1969
185,Reimann (KPD),5,05/247,03.07.1969
186,Loritz (WAV),5,05/247,03.07.1969
187,Fisch (KPD),5,05/247,03.07.1969
188,Fisch (KPD),5,05/247,03.07.1969
