RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),15,15/187,28.09.2005
2,Böhm (SPD),15,15/187,28.09.2005
3,Ollenhauer (SPD),15,15/187,28.09.2005
4,Reimann (KPD),15,15/187,28.09.2005
5,Renner (KPD),15,15/187,28.09.2005
6,Ollenhauer (SPD),15,15/187,28.09.2005
7,Renner (KPD),15,15/187,28.09.2005
8,Zinn (SPD),15,15/187,28.09.2005
9,Zinn (SPD),15,15/187,28.09.2005
10,Blücher (FDP),15,15/187,28.09.2005
11,Renner (KPD),15,15/187,28.09.2005
12,Renner (KPD),15,15/187,28.09.2005
13,Ewers (DP),15,15/187,28.09.2005
14,Ewers (DP),15,15/187,28.09.2005
15,Ewers (DP),15,15/187,28.09.2005
16,Ewers (DP),15,15/187,28.09.2005
17,Ewers (DP),15,15/187,28.09.2005
18,Reimann (KPD),15,15/187,28.09.2005
19,Reimann (KPD),15,15/187,28.09.2005
20,Reimann (KPD),15,15/187,28.09.2005
21,Reimann (KPD),15,15/187,28.09.2005
22,Reimann (KPD),15,15/187,28.09.2005
23,Reimann (KPD),15,15/187,28.09.2005
24,Reimann (KPD),15,15/187,28.09.2005
25,Loritz (WAV),15,15/187,28.09.2005
26,Clausen (SSW),15,15/187,28.09.2005
27,Blank (CDU),15,15/187,28.09.2005
28,Blank (CDU),15,15/187,28.09.2005
29,Ollenhauer (SPD),15,15/187,28.09.2005
30,Rüdiger (FDP),15,15/187,28.09.2005
31,Rüdiger (FDP),15,15/187,28.09.2005
32,Ollenhauer (SPD),15,15/187,28.09.2005
33,Fisch (KPD),15,15/187,28.09.2005
34,Fisch (KPD),15,15/187,28.09.2005
35,Götzendorff (WAV),15,15/187,28.09.2005
36,Ribbeheger (Z),15,15/187,28.09.2005
37,Euler (FDP),15,15/187,28.09.2005
38,Etzel (CDU),15,15/187,28.09.2005
39,Euler (FDP),15,15/187,28.09.2005
40,Löfflad (WAV),15,15/187,28.09.2005
41,Rische (KPD),15,15/187,28.09.2005
42,Loritz (WAV),15,15/187,28.09.2005
43,Agatz (KPD),15,15/187,28.09.2005
44,Goetzendorff (WAV),15,15/187,28.09.2005
45,Strauß (CSU),15,15/187,28.09.2005
46,Mayer (FDP),15,15/187,28.09.2005
47,Euler (FDP),15,15/187,28.09.2005
48,Schoettle (SPD),15,15/187,28.09.2005
49,Schoettle (SPD),15,15/187,28.09.2005
50,Scharnberg (CDU),15,15/187,28.09.2005
51,Euler (FDP),15,15/187,28.09.2005
52,Schoettle (SPD),15,15/187,28.09.2005
53,Schoettle (SPD),15,15/187,28.09.2005
54,Schoettle (SPD),15,15/187,28.09.2005
55,Schoettle (SPD),15,15/187,28.09.2005
56,Euler (FDP),15,15/187,28.09.2005
57,Loritz (WAV),15,15/187,28.09.2005
58,Loritz (WAV),15,15/187,28.09.2005
59,Renner (KPD),15,15/187,28.09.2005
60,Schoettle (SPD),15,15/187,28.09.2005
61,Schoettle (SPD),15,15/187,28.09.2005
62,Kinat (SPD),15,15/187,28.09.2005
63,Renner (KPD),15,15/187,28.09.2005
64,Schoettle (SPD),15,15/187,28.09.2005
65,Gengler (CDU),15,15/187,28.09.2005
66,Schoettle (SPD),15,15/187,28.09.2005
67,Renner (KPD),15,15/187,28.09.2005
68,Scharnberg (CDU),15,15/187,28.09.2005
69,Schoettle (SPD),15,15/187,28.09.2005
70,Gengler (CDU),15,15/187,28.09.2005
71,Henßler (SPD),15,15/187,28.09.2005
72,Paul (KPD),15,15/187,28.09.2005
73,Tichi (WAV),15,15/187,28.09.2005
74,Henßler (SPD),15,15/187,28.09.2005
75,Paul (KPD),15,15/187,28.09.2005
76,Paul (KPD),15,15/187,28.09.2005
77,Paul (KPD),15,15/187,28.09.2005
78,Renner (KPD),15,15/187,28.09.2005
79,Renner (KPD),15,15/187,28.09.2005
80,Renner (KPD),15,15/187,28.09.2005
81,Strauß (CSU),15,15/187,28.09.2005
82,Zinn (SPD),15,15/187,28.09.2005
83,Zinn (SPD),15,15/187,28.09.2005
84,Euler (FDP),15,15/187,28.09.2005
85,Ollenhauer (SPD),15,15/187,28.09.2005
86,Renner (KPD),15,15/187,28.09.2005
87,Hilbert (CDU),15,15/187,28.09.2005
88,Renner (KPD),15,15/187,28.09.2005
89,Paul (KPD),15,15/187,28.09.2005
90,Loritz (WAV),15,15/187,28.09.2005
91,Kiesinger (CDU),15,15/187,28.09.2005
92,Kiesinger (CDU),15,15/187,28.09.2005
93,Farke (DP),15,15/187,28.09.2005
94,Kiesinger (CDU),15,15/187,28.09.2005
95,Renner (KPD),15,15/187,28.09.2005
96,Richter (SPD),15,15/187,28.09.2005
97,Arndgen (CDU),15,15/187,28.09.2005
98,Blank (CDU),15,15/187,28.09.2005
99,Richter (SPD),15,15/187,28.09.2005
100,Blank (CDU),15,15/187,28.09.2005
101,Karpf (CDU),15,15/187,28.09.2005
102,Paul (KPD),15,15/187,28.09.2005
103,Stierle (SPD),15,15/187,28.09.2005
104,Wirths (FDP),15,15/187,28.09.2005
105,Etzel (CDU),15,15/187,28.09.2005
106,Etzel (CDU),15,15/187,28.09.2005
107,Ollenhauer (SPD),15,15/187,28.09.2005
108,Kuntscher (CDU),15,15/187,28.09.2005
109,Reitzner (SPD),15,15/187,28.09.2005
110,Goetzendorff (WAV),15,15/187,28.09.2005
111,Renner (KPD),15,15/187,28.09.2005
112,Krause (Z),15,15/187,28.09.2005
113,Clausen (SSW),15,15/187,28.09.2005
114,Donhauser (BP),15,15/187,28.09.2005
115,Höfler (CDU),15,15/187,28.09.2005
116,Rische (KPD),15,15/187,28.09.2005
117,Rische (KPD),15,15/187,28.09.2005
118,Wehner (SPD),15,15/187,28.09.2005
119,Goetzendorff (WAV),15,15/187,28.09.2005
120,Renner (KPD),15,15/187,28.09.2005
121,Renner (KPD),15,15/187,28.09.2005
122,Renner (KPD),15,15/187,28.09.2005
123,Renner (KPD),15,15/187,28.09.2005
124,Jahn (SPD),15,15/187,28.09.2005
125,Jahn (SPD),15,15/187,28.09.2005
126,Ritzel (SPD),15,15/187,28.09.2005
127,Loritz (WAV),15,15/187,28.09.2005
128,Renner (KPD),15,15/187,28.09.2005
129,Strauss (CSU),15,15/187,28.09.2005
130,Löfflad (WAV),15,15/187,28.09.2005
131,Neuburger (CDU),15,15/187,28.09.2005
132,Renner (KPD),15,15/187,28.09.2005
133,Blank (CDU),15,15/187,28.09.2005
134,Euler (FDP),15,15/187,28.09.2005
135,Gundelach (KPD),15,15/187,28.09.2005
136,Neumann (SPD),15,15/187,28.09.2005
137,Nuding (KPD),15,15/187,28.09.2005
138,Nuding (KPD),15,15/187,28.09.2005
139,Strauß (CSU),15,15/187,28.09.2005
140,Renner (KPD),15,15/187,28.09.2005
141,Ollenhauer (SPD),15,15/187,28.09.2005
142,Renner (KPD),15,15/187,28.09.2005
143,Rische (KPD),15,15/187,28.09.2005
144,Mellies (SPD),15,15/187,28.09.2005
145,Paul (KPD),15,15/187,28.09.2005
146,Schoettle (SPD),15,15/187,28.09.2005
147,Paul (KPD),15,15/187,28.09.2005
148,Arndgen (CDU),15,15/187,28.09.2005
149,Richter (SPD),15,15/187,28.09.2005
150,Nuding (KPD),15,15/187,28.09.2005
151,Reitzner (SPD),15,15/187,28.09.2005
152,Bazille (SPD),15,15/187,28.09.2005
153,Bazille (SPD),15,15/187,28.09.2005
154,Renner (KPD),15,15/187,28.09.2005
155,Renner (KPD),15,15/187,28.09.2005
156,Ollenhauer (SPD),15,15/187,28.09.2005
157,Ollenhauer (SPD),15,15/187,28.09.2005
158,Renner (KPD),15,15/187,28.09.2005
159,Renner (KPD),15,15/187,28.09.2005
160,Renner (KPD),15,15/187,28.09.2005
161,Renner (KPD),15,15/187,28.09.2005
162,Renner (KPD),15,15/187,28.09.2005
163,Renner (KPD),15,15/187,28.09.2005
164,Renner (KPD),15,15/187,28.09.2005
165,Euler (FDP),15,15/187,28.09.2005
166,Zinn (SPD),15,15/187,28.09.2005
167,Rademacher (FDP),15,15/187,28.09.2005
168,Rische (KPD),15,15/187,28.09.2005
169,Rische (KPD),15,15/187,28.09.2005
170,Leddin (SPD),15,15/187,28.09.2005
171,Seuffert (SPD),15,15/187,28.09.2005
172,Leibbrand (KPD),15,15/187,28.09.2005
173,Goetzendorff (WAV),15,15/187,28.09.2005
174,Hilbert (CDU),15,15/187,28.09.2005
175,Renner (KPD),15,15/187,28.09.2005
176,Ollenhauer (SPD),15,15/187,28.09.2005
177,Ollenhauer (SPD),15,15/187,28.09.2005
178,Euler (FDP),15,15/187,28.09.2005
179,Zinn (SPD),15,15/187,28.09.2005
180,Renner (KPD),15,15/187,28.09.2005
181,Löbe (SPD),15,15/187,28.09.2005
182,Euler (FDP),15,15/187,28.09.2005
183,Reimann (KPD),15,15/187,28.09.2005
184,Reimann (KPD),15,15/187,28.09.2005
185,Reimann (KPD),15,15/187,28.09.2005
186,Loritz (WAV),15,15/187,28.09.2005
187,Fisch (KPD),15,15/187,28.09.2005
188,Fisch (KPD),15,15/187,28.09.2005
189,Strauss (CSU),15,15/187,28.09.2005
190,Gundelach (KPD),15,15/187,28.09.2005
191,Pannenbecker (Z),15,15/187,28.09.2005
192,Farke (DP),15,15/187,28.09.2005
193,Donhauser (BP),15,15/187,28.09.2005
194,Pannenbecker (Z),15,15/187,28.09.2005
195,Strauss (CSU),15,15/187,28.09.2005
196,Kiesinger (CDU),15,15/187,28.09.2005
197,Gockeln (CDU),15,15/187,28.09.2005
198,Loritz (WAV),15,15/187,28.09.2005
199,Fisch (KPD),15,15/187,28.09.2005
200,Fisch (KPD),15,15/187,28.09.2005
201,Fisch (KPD),15,15/187,28.09.2005
202,Fisch (KPD),15,15/187,28.09.2005
203,Fisch (KPD),15,15/187,28.09.2005
204,Fisch (KPD),15,15/187,28.09.2005
205,Loritz (WAV),15,15/187,28.09.2005
206,Loritz (WAV),15,15/187,28.09.2005
207,Loritz (WAV),15,15/187,28.09.2005
208,Loritz (WAV),15,15/187,28.09.2005
209,Ollenhauer (SPD),15,15/187,28.09.2005
210,Ollenhauer (SPD),15,15/187,28.09.2005
211,Ollenhauer (SPD),15,15/187,28.09.2005
212,Bausch (CDU),15,15/187,28.09.2005
213,Euler (FDP),15,15/187,28.09.2005
214,Fisch (KPD),15,15/187,28.09.2005
215,Fisch (KPD),15,15/187,28.09.2005
216,Fisch (KPD),15,15/187,28.09.2005
217,Euler (FDP),15,15/187,28.09.2005
218,Strauss (CSU),15,15/187,28.09.2005
219,Ribbeheger (Z),15,15/187,28.09.2005
220,Strauss (CSU),15,15/187,28.09.2005
221,Strauss (CSU),15,15/187,28.09.2005
222,Strauss (CSU),15,15/187,28.09.2005
223,Walter (DP),15,15/187,28.09.2005
224,Rademacher (FDP),15,15/187,28.09.2005
225,Niebergall (KPD),15,15/187,28.09.2005
226,Stahl (FDP),15,15/187,28.09.2005
227,Arndgen (CDU),15,15/187,28.09.2005
228,Pohle (SPD),15,15/187,28.09.2005
