RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),3,03/168,22.08.1961
2,Böhm (SPD),3,03/168,22.08.1961
3,Ollenhauer (SPD),3,03/168,22.08.1961
4,Reimann (KPD),3,03/168,22.08.1961
5,Renner (KPD),3,03/168,22.08.1961
6,Ollenhauer (SPD),3,03/168,22.08.1961
7,Renner (KPD),3,03/168,22.08.1961
8,Zinn (SPD),3,03/168,22.08.1961
9,Zinn (SPD),3,03/168,22.08.1961
10,Blücher (FDP),3,03/168,22.08.1961
11,Renner (KPD),3,03/168,22.08.1961
12,Renner (KPD),3,03/168,22.08.1961
13,Ewers (DP),3,03/168,22.08.1961
14,Ewers (DP),3,03/168,22.08.1961
15,Ewers (DP),3,03/168,22.08.1961
16,Ewers (DP),3,03/168,22.08.1961
17,Ewers (DP),3,03/168,22.08.1961
18,Reimann (KPD),3,03/168,22.08.1961
19,Reimann (KPD),3,03/168,22.08.1961
20,Reimann (KPD),3,03/168,22.08.1961
21,Reimann (KPD),3,03/168,22.08.1961
22,Reimann (KPD),3,03/168,22.08.1961
23,Reimann (KPD),3,03/168,22.08.1961
24,Reimann (KPD),3,03/168,22.08.1961
25,Loritz (WAV),3,03/168,22.08.1961
26,Clausen (SSW),3,03/168,22.08.1961
27,Blank (CDU),3,03/168,22.08.1961
28,Blank (CDU),3,03/168,22.08.1961
29,Ollenhauer (SPD),3,03/168,22.08.1961
30,Rüdiger (FDP),3,03/168,22.08.1961
31,Rüdiger (FDP),3,03/168,22.08.1961
32,Ollenhauer (SPD),3,03/168,22.08.1961
33,Fisch (KPD),3,03/168,22.08.1961
34,Fisch (KPD),3,03/168,22.08.1961
35,Götzendorff (WAV),3,03/168,22.08.1961
36,Ribbeheger (Z),3,03/168,22.08.1961
37,Euler (FDP),3,03/168,22.08.1961
38,Etzel (CDU),3,03/168,22.08.1961
39,Euler (FDP),3,03/168,22.08.1961
40,Löfflad (WAV),3,03/168,22.08.1961
41,Rische (KPD),3,03/168,22.08.1961
42,Loritz (WAV),3,03/168,22.08.1961
43,Agatz (KPD),3,03/168,22.08.1961
44,Goetzendorff (WAV),3,03/168,22.08.1961
45,Strauß (CSU),3,03/168,22.08.1961
46,Mayer (FDP),3,03/168,22.08.1961
47,Euler (FDP),3,03/168,22.08.1961
48,Schoettle (SPD),3,03/168,22.08.1961
49,Schoettle (SPD),3,03/168,22.08.1961
50,Scharnberg (CDU),3,03/168,22.08.1961
51,Euler (FDP),3,03/168,22.08.1961
52,Schoettle (SPD),3,03/168,22.08.1961
53,Schoettle (SPD),3,03/168,22.08.1961
54,Schoettle (SPD),3,03/168,22.08.1961
55,Schoettle (SPD),3,03/168,22.08.1961
56,Euler (FDP),3,03/168,22.08.1961
57,Loritz (WAV),3,03/168,22.08.1961
58,Loritz (WAV),3,03/168,22.08.1961
59,Renner (KPD),3,03/168,22.08.1961
60,Schoettle (SPD),3,03/168,22.08.1961
61,Schoettle (SPD),3,03/168,22.08.1961
62,Kinat (SPD),3,03/168,22.08.1961
63,Renner (KPD),3,03/168,22.08.1961
64,Schoettle (SPD),3,03/168,22.08.1961
65,Gengler (CDU),3,03/168,22.08.1961
66,Schoettle (SPD),3,03/168,22.08.1961
67,Renner (KPD),3,03/168,22.08.1961
68,Scharnberg (CDU),3,03/168,22.08.1961
69,Schoettle (SPD),3,03/168,22.08.1961
70,Gengler (CDU),3,03/168,22.08.1961
71,Henßler (SPD),3,03/168,22.08.1961
72,Paul (KPD),3,03/168,22.08.1961
73,Tichi (WAV),3,03/168,22.08.1961
74,Henßler (SPD),3,03/168,22.08.1961
75,Paul (KPD),3,03/168,22.08.1961
76,Paul (KPD),3,03/168,22.08.1961
77,Paul (KPD),3,03/168,22.08.1961
78,Renner (KPD),3,03/168,22.08.1961
79,Renner (KPD),3,03/168,22.08.1961
80,Renner (KPD),3,03/168,22.08.1961
81,Strauß (CSU),3,03/168,22.08.1961
82,Zinn (SPD),3,03/168,22.08.1961
83,Zinn (SPD),3,03/168,22.08.1961
84,Euler (FDP),3,03/168,22.08.1961
85,Ollenhauer (SPD),3,03/168,22.08.1961
86,Renner (KPD),3,03/168,22.08.1961
