RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
1,Reimann (KPD),17,17/253,03.09.2013
2,Böhm (SPD),17,17/253,03.09.2013
3,Ollenhauer (SPD),17,17/253,03.09.2013
4,Reimann (KPD),17,17/253,03.09.2013
5,Renner (KPD),17,17/253,03.09.2013
6,Ollenhauer (SPD),17,17/253,03.09.2013
7,Renner (KPD),17,17/253,03.09.2013
8,Zinn (SPD),17,17/253,03.09.2013
9,Zinn (SPD),17,17/253,03.09.2013
10,Blücher (FDP),17,17/253,03.09.2013
11,Renner (KPD),17,17/253,03.09.2013
12,Renner (KPD),17,17/253,03.09.2013
13,Ewers (DP),17,17/253,03.09.2013
14,Ewers (DP),17,17/253,03.09.2013
15,Ewers (DP),17,17/253,03.09.2013
16,Ewers (DP),17,17/253,03.09.2013
17,Ewers (DP),17,17/253,03.09.2013
18,Reimann (KPD),17,17/253,03.09.2013
19,Reimann (KPD),17,17/253,03.09.2013
20,Reimann (KPD),17,17/253,03.09.2013
21,Reimann (KPD),17,17/253,03.09.2013
22,Reimann (KPD),17,17/253,03.09.2013
23,Reimann (KPD),17,17/253,03.09.2013
24,Reimann (KPD),17,17/253,03.09.2013
25,Loritz (WAV),17,17/253,03.09.2013
26,Clausen (SSW),17,17/253,03.09.2013
27,Blank (CDU),17,17/253,03.09.2013
28,Blank (CDU),17,17/253,03.09.2013
29,Ollenhauer (SPD),17,17/253,03.09.2013
30,Rüdiger (FDP),17,17/253,03.09.2013
31,Rüdiger (FDP),17,17/253,03.09.2013
32,Ollenhauer (SPD),17,17/253,03.09.2013
33,Fisch (KPD),17,17/253,03.09.2013
34,Fisch (KPD),17,17/253,03.09.2013
35,Götzendorff (WAV),17,17/253,03.09.2013
36,Ribbeheger (Z),17,17/253,03.09.2013
37,Euler (FDP),17,17/253,03.09.2013
38,Etzel (CDU),17,17/253,03.09.2013
39,Euler (FDP),17,17/253,03.09.2013
40,Löfflad (WAV),17,17/253,03.09.2013
41,Rische (KPD),17,17/253,03.09.2013
42,Loritz (WAV),17,17/253,03.09.2013
43,Agatz (KPD),17,17/253,03.09.2013
44,Goetzendorff (WAV),17,17/253,03.09.2013
45,Strauß (CSU),17,17/253,03.09.2013
46,Mayer (FDP),17,17/253,03.09.2013
47,Euler (FDP),17,17/253,03.09.2013
48,Schoettle (SPD),17,17/253,03.09.2013
49,Schoettle (SPD),17,17/253,03.09.2013
50,Scharnberg (CDU),17,17/253,03.09.2013
51,Euler (FDP),17,17/253,03.09.2013
52,Schoettle (SPD),17,17/253,03.09.2013
53,Schoettle (SPD),17,17/253,03.09.2013
54,Schoettle (SPD),17,17/253,03.09.2013
55,Schoettle (SPD),17,17/253,03.09.2013
56,Euler (FDP),17,17/253,03.09.2013
57,Loritz (WAV),17,17/253,03.09.2013
58,Loritz (WAV),17,17/253,03.09.2013
59,Renner (KPD),17,17/253,03.09.2013
60,Schoettle (SPD),17,17/253,03.09.2013
61,Schoettle (SPD),17,17/253,03.09.2013
62,Kinat (SPD),17,17/253,03.09.2013
63,Renner (KPD),17,17/253,03.09.2013
64,Schoettle (SPD),17,17/253,03.09.2013
65,Gengler (CDU),17,17/253,03.09.2013
66,Schoettle (SPD),17,17/253,03.09.2013
67,Renner (KPD),17,17/253,03.09.2013
68,Scharnberg (CDU),17,17/253,03.09.2013
69,Schoettle (SPD),17,17/253,03.09.2013
70,Gengler (CDU),17,17/253,03.09.2013
71,Henßler (SPD),17,17/253,03.09.2013
72,Paul (KPD),17,17/253,03.09.2013
73,Tichi (WAV),17,17/253,03.09.2013
74,Henßler (SPD),17,17/253,03.09.2013
75,Paul (KPD),17,17/253,03.09.2013
76,Paul (KPD),17,17/253,03.09.2013
77,Paul (KPD),17,17/253,03.09.2013
78,Renner (KPD),17,17/253,03.09.2013
79,Renner (KPD),17,17/253,03.09.2013
80,Renner (KPD),17,17/253,03.09.2013
81,Strauß (CSU),17,17/253,03.09.2013
82,Zinn (SPD),17,17/253,03.09.2013
83,Zinn (SPD),17,17/253,03.09.2013
84,Euler (FDP),17,17/253,03.09.2013
85,Ollenhauer (SPD),17,17/253,03.09.2013
86,Renner (KPD),17,17/253,03.09.2013
87,Hilbert (CDU),17,17/253,03.09.2013
88,Renner (KPD),17,17/253,03.09.2013
89,Paul (KPD),17,17/253,03.09.2013
90,Loritz (WAV),17,17/253,03.09.2013
91,Kiesinger (CDU),17,17/253,03.09.2013
92,Kiesinger (CDU),17,17/253,03.09.2013
93,Farke (DP),17,17/253,03.09.2013
94,Kiesinger (CDU),17,17/253,03.09.2013
95,Renner (KPD),17,17/253,03.09.2013
96,Richter (SPD),17,17/253,03.09.2013
97,Arndgen (CDU),17,17/253,03.09.2013
98,Blank (CDU),17,17/253,03.09.2013
99,Richter (SPD),17,17/253,03.09.2013
100,Blank (CDU),17,17/253,03.09.2013
101,Karpf (CDU),17,17/253,03.09.2013
102,Paul (KPD),17,17/253,03.09.2013
103,Stierle (SPD),17,17/253,03.09.2013
104,Wirths (FDP),17,17/253,03.09.2013
105,Etzel (CDU),17,17/253,03.09.2013
106,Etzel (CDU),17,17/253,03.09.2013
107,Ollenhauer (SPD),17,17/253,03.09.2013
108,Kuntscher (CDU),17,17/253,03.09.2013
109,Reitzner (SPD),17,17/253,03.09.2013
110,Goetzendorff (WAV),17,17/253,03.09.2013
111,Renner (KPD),17,17/253,03.09.2013
112,Krause (Z),17,17/253,03.09.2013
113,Clausen (SSW),17,17/253,03.09.2013
114,Donhauser (BP),17,17/253,03.09.2013
115,Höfler (CDU),17,17/253,03.09.2013
116,Rische (KPD),17,17/253,03.09.2013
117,Rische (KPD),17,17/253,03.09.2013
118,Wehner (SPD),17,17/253,03.09.2013
119,Goetzendorff (WAV),17,17/253,03.09.2013
120,Renner (KPD),17,17/253,03.09.2013
121,Renner (KPD),17,17/253,03.09.2013
122,Renner (KPD),17,17/253,03.09.2013
123,Renner (KPD),17,17/253,03.09.2013
124,Jahn (SPD),17,17/253,03.09.2013
125,Jahn (SPD),17,17/253,03.09.2013
126,Ritzel (SPD),17,17/253,03.09.2013
127,Loritz (WAV),17,17/253,03.09.2013
128,Renner (KPD),17,17/253,03.09.2013
129,Strauss (CSU),17,17/253,03.09.2013
130,Löfflad (WAV),17,17/253,03.09.2013
131,Neuburger (CDU),17,17/253,03.09.2013
132,Renner (KPD),17,17/253,03.09.2013
133,Blank (CDU),17,17/253,03.09.2013
134,Euler (FDP),17,17/253,03.09.2013
135,Gundelach (KPD),17,17/253,03.09.2013
136,Neumann (SPD),17,17/253,03.09.2013
137,Nuding (KPD),17,17/253,03.09.2013
