RB_ID,KO_Name
2024,Dr. Waigel [CDU/CSU]
2024,Dr. Vogel [SPD]
2034,Seiters [CDU/CSU]
2034,Dr. Faltlhauser [CDU/CSU]
2035,Sellin [GRÜNE]
2044,Amling [SPD]
2052,Frau Oesterle-Schwerin [GRÜNE]
2056,Sellin [GRÜNE]
2056,Dr. Vogel [SPD]
2056,Dr. Vogel [SPD]
2071,Vogel [SPD]
2072,Hinsken [CDU/CSU]
2075,Frau Dr. Hartenstein [SPD]
2075,Seiters [CDU/CSU]
2079,Vogel [SPD]
2079,Dr. Bötsch [CDU/CSU]
2080,Dr. Mitscherling [SPD]
2086,Frau Matthäus-Maier [SPD]
2089,Frau Unruh [GRÜNE]
2090,Menzel [SPD]
2095,Frau Dr. Vollmer [GRÜNE]
2096,Dr. Lippelt [Hannover] [GRÜNE]
2096,Sielaff [SPD]
2096,Dr. Hoffacker [CDU/CSU]
2097,Unruh [GRÜNE]
2097,Frau Beck-Oberdorf [GRÜNE]
2104,Bohl [CDU/CSU]
2104,Dr. Friedmann [CDU/CSU]
2108,Günther [CDU/CSU]
2119,Jahn [Marburg] [SPD]
2120,Opel [SPD]
2120,Frau Dr. Vollmer [GRÜNE]
2120,Dr. Bötsch [CDU/CSU]
2120,Dr. Rose [CDU/CSU]
2121,Bindig [SPD]
2122,Bohl [CDU/CSU]
2125,Lamers [CDU/CSU]
2126,Cronenberg [Arnsberg] [FDP]
2129,Dr. Vogel [SPD]
2133, Dr. Bötsch [CDU/CSU]
2135,Dr. Vogel [SPD]
2144,Pfeffermann [CDU/CSU]
2145,Conradi [SPD]
2146,Conradi [SPD]
2149,Nickels [GRÜNE]
2149,Dr. Rüttgers [CDU/CSU]
2151,Stratmann-Mertens [GRÜNE]
2151,Becker [Nienberge] [SPD]
2155,Stratmann-Mertens [GRÜNE]
2161,Dr. Vogel [SPD]
2162,Baum [FDP]
2163, Duve [SPD]
2163,Dr. Vogel [SPD]
2163,Bohl [CDU/CSU]
2163,Gerster [CDU/CSU]
2164,Poß [SPD]
2167,Vogel [SPD]
2167,Dr. Bötsch [CDU/CSU]
2167,dorff [FDP] gewandt]
2167,Geis [CDU/CSU]
2167,Dr. Struck [SPD]
2167,Baum [FDP]
2167,Marschewski [CDU/CSU]
2167,Karsten D. Voigt [Frankfurt] [SPD]
2167,Dr. Willfried Penner [SPD]
2167,Bohl [CDU/CSU]
2167,Friedrich Bohl [CDU/CSU]
2167,Julius Louven [CDU/CSU]
2167,Ingrid Matthäus-Maier [SPD]
