WP;NACHNAME;VORNAME;BERUF;ANREDE_TITEL;PRAEFIX;ADEL;PARTEI_KURZ;ORTSZUSATZ;GESCHLECHT;ID
1;Brunner;Karl;Chefredakteur, Lehrer;;;;SPD;;männlich;11000283
1;Bucerius;Gerd;Rechtsanwalt, Verleger;Dr.;;;CDU/CSU;;männlich;11000287
1;Campe;Carl;Diplomat;Dr.;von;;DP;;männlich;11000319
1;Clausen;Hermann;Reichsbahnobersekretär i. R.;;;;FU;;männlich;11000329
1;Clausen;Hermann;Reichsbahnobersekretär i. R.;;;;FU;;männlich;11000329
1;Clausen;Hermann;Reichsbahnobersekretär i. R.;;;;FU;;männlich;11000329
1;Cramer;Johann;Verlagsleiter, Chefredakteur;;;;SPD;;männlich;11000340
1;Dannebom;Otto;Bergmann;;;;SPD;;männlich;11000355
1;Dannemann;Robert;Landwirtschaftsrat;;;;FDP;;männlich;11000356
1;Decker;Hugo;Dipl.-Ingenieur;Dr.;;;FU;;männlich;11000362
1;Decker;Hugo;Dipl.-Ingenieur;Dr.;;;FU;;männlich;11000362
1;Degener;Johannes;Journalist, Kaufmann, Angestellter;;;;CDU/CSU;;männlich;11000363
1;Dehler;Thomas;Vizepräsident DBT , Rechtsanwalt;Dr.;;;FDP;;männlich;11000364
1;Determann;Gregor;Tischlergeselle, Bergmann;;;;FU;;männlich;11000377
1;Determann;Gregor;Tischlergeselle, Bergmann;;;;FU;;männlich;11000377
1;Diel;Anton;Angestellter;;;;SPD;;männlich;11000385
1;Diel;Anton;Angestellter;;;;SPD;Horressen;männlich;11000385
1;Dietz;Maria;Hausfrau;;;;CDU/CSU;;weiblich;11000390
1;Dirscherl;Hans;Schuhmachermeister, Kaufmann;;;;FDP;;männlich;11000392
1;Döhring;Clara;Abteilungsleiterin;;;;SPD;;weiblich;11000395
1;Döhring;Clara;Abteilungsleiterin;;;;SPD;Stuttgart;weiblich;11000395
1;Donhauser;Anton;Bauingenieur;;;;CDU/CSU;;männlich;11000404
1;Donhauser;Anton;Bauingenieur;;;;CDU/CSU;;männlich;11000404
1;Donhauser;Anton;Bauingenieur;;;;CDU/CSU;;männlich;11000404
1;Dorls;Fritz;Schriftsteller, Journalist;Dr.;;;SRP;;männlich;11000408
1;Dorls;Fritz;Schriftsteller, Journalist;Dr.;;;SRP;;männlich;11000408
1;Dorls;Fritz;Schriftsteller, Journalist;Dr.;;;SRP;;männlich;11000408
1;Dorls;Fritz;Schriftsteller, Journalist;Dr.;;;SRP;;männlich;11000408
1;Dresbach;August;Hauptgeschäftsführer i. R.;Dr.;;;CDU/CSU;;männlich;11000419
1;Eberhard;Anton;Steuer- und Wirtschaftsberater;;;;FDP;;männlich;11000426
1;Eckstein;Heinrich;Landwirt, Betriebsleiter;;;;CDU/CSU;;männlich;11000434
1;Edert;Eduard;Oberschulrat i. R.;Dr.;;;Parteilos;;männlich;11000435
1;Ehlers;Hermann;Präsident DBT a.D., Dipl.-Ingenieurökonom, Dipl.-Staatswissenschaftler;Dr.;;;CDU/CSU;;männlich;11000438
1;Ehren;Hermann;Schriftsteller;;;;CDU/CSU;;männlich;11000444
1;Eichler;Willi;Chefredakteur;;;;SPD;;männlich;11000450
1;Eichner;Josef;Landwirt;;;;FU;;männlich;11000451
1;Eichner;Josef;Landwirt;;;;FU;;männlich;11000451
1;Eickhoff;Rudolf;Bäckermeister, Bürgermeister;;;;DP;;männlich;11000452
1;Ekstrand;Hans;kaufm.Angestellter, Gewerkschaftssekretär;;;;SPD;;männlich;11000460
1;Eplée;Hermann A.;Dipl.-Kaufmann;;;;CDU/CSU;;männlich;11000482
1;Erhard;Ludwig;Professor, Bundesminister , Bundeskanzler;Dr.;;;CDU/CSU;;männlich;11000486
1;Erler;Fritz;Landrat;;;;SPD;;männlich;11000488
1;Etzel;Franz;Rechtsanwalt und Notar;;;;CDU/CSU;;männlich;11000497
1;Etzel;Franz;Rechtsanwalt und Notar;;;;CDU/CSU;Duisburg;männlich;11000497
1;Etzel;Hermann;Rechtsanwalt und Notar;Dr.;;;FU;Bamberg;männlich;11000498
1;Etzel;Hermann;Rechtsanwalt und Notar;Dr.;;;FU;Bamberg;männlich;11000498
1;Etzel;Hermann;Rechtsanwalt und Notar;Dr.;;;FU;Bamberg;männlich;11000498
1;Etzenbach;Peter;Bürgermeister i. R., Landrat;;;;CDU/CSU;;männlich;11000499
1;Euler;August-Martin;Rechtsanwalt und Notar;;;;DP;;männlich;11000500
1;Even;Johannes;Geschäftsführer und Verbandsvorsitzender der Katholischen Arbeiterbewegung;;;;CDU/CSU;;männlich;11000502
1;Even;Johannes;Geschäftsführer und Verbandsvorsitzender der Katholischen Arbeiterbewegung;;;;CDU/CSU;Köln;männlich;11000502
1;Ewers;Hans;Rechtsanwalt und Notar;;;;DP;;männlich;11000505
1;Falkner;Ernst;Philologe, Jurist;Dr.;;;BP;;männlich;11000515
1;Faller;Walter;Mechaniker;;;;SPD;;männlich;11000516
1;Farke;Ernst August;Lehrer;;;;DP;;männlich;11000518
1;Fassbender;Heinrich;Kaufmann;;;;FDP;;männlich;11000521
1;Feldmann;Aloys;Fabrikant, Bürgermeister;;;;CDU/CSU;;männlich;11000529
1;Fink;Conrad;Landrat;Dr.;;;CDU/CSU;;männlich;11000545
1;Fink;Conrad;Landrat;Dr.;;;CDU/CSU;;männlich;11000545
1;Fink;Conrad;Landrat;Dr.;;;CDU/CSU;;männlich;11000545
1;Fisch;Walter;Parteisekretät;;;;KPD;;männlich;11000548
1;Fischer;Willy;Kaufmännischer Angestellter;;;;SPD;;männlich;11000559
1;Franke;Egon;Bundesminister;;;;SPD;;männlich;11000570
1;Franke;Egon;Bundesminister;;;;SPD;Hannover;männlich;11000570
1;Freidhof;Rudolf;Regierungsrat;;;;SPD;;männlich;11000577
1;Freitag;Walter;Werkzeugdreher, Gewerkschaftsangestellter;;;;SPD;;männlich;11000578
1;Freudenberg;Richard;Fabrikant;;;;FDP;;männlich;11000582
1;Freudenberg;Richard;Fabrikant;;;;FDP;;männlich;11000582
1;Freudenberg;Richard;Fabrikant;;;;FDP;;männlich;11000582
1;Frey;Martin;Dipl.-Landwirt;Dr.;;;CDU/CSU;;männlich;11000583
1;Fricke;Hans-Joachim;Syndikus;Dr.;;;DP;;männlich;11000585
1;Friedensburg;Ferdinand;Bergassessor , Regierungspräsident , Professor, Domherr von Brandenburg;Dr.;;;CDU/CSU;;männlich;11000587
1;Friedrich;Hans;Arzt;Dr.;;;FDP;;männlich;11000592
1;Friedrich;Hans;Arzt;Dr.;;;FDP;;männlich;11000592
1;Friedrich;Hans;Arzt;Dr.;;;FDP;;männlich;11000592
1;Friedrich;Hans;Arzt;Dr.;;;FDP;;männlich;11000592
1;Friedrich;Hans;Arzt;Dr.;;;FDP;;männlich;11000592
1;Fröhlich;Hans-Gerd;Verwaltungsangestellter, Kaufmann;;;;WAV;;männlich;11000606
1;Fröhlich;Hans-Gerd;Verwaltungsangestellter, Kaufmann;;;;WAV;;männlich;11000606
1;Fröhlich;Hans-Gerd;Verwaltungsangestellter, Kaufmann;;;;WAV;;männlich;11000606
1;Frommhold;Heinz;Landwirt, Verwaltungsangestellter;;;;DRP;;männlich;11000608
1;Frommhold;Heinz;Landwirt, Verwaltungsangestellter;;;;DRP;;männlich;11000608
1;Frommhold;Heinz;Landwirt, Verwaltungsangestellter;;;;DRP;;männlich;11000608
1;Frommhold;Heinz;Landwirt, Verwaltungsangestellter;;;;DRP;;männlich;11000608
